step,time_sec,nn_steer,expert_steer,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,0.0017557945102453232,0.0003784273834750167,-0.001726065301732927,-0.0056629440845374565,19.472020143576497,28.232616424560547,45.370086669921875,-0.0520934984087944
1,0.2,-0.004672559909522533,-0.0006300989712741946,-0.001230718227589444,-0.0040377895898045515,18.62730158475518,29.934791564941406,45.36897659301758,-0.0038757326547056437
2,0.4,0.0036338577046990395,0.0025955981025845474,-0.0029641745269336837,-0.009724982354945106,17.950421951901234,31.56393814086914,45.3657112121582,-0.09765625
3,0.6,0.0033573564141988754,0.0014198107668595068,-0.0037792187026476124,-0.012399011888394392,17.971871287061983,33.16289138793945,45.3633918762207,-0.0534362718462944
4,0.8,-0.0021902546286582947,-0.0019836586040557166,-0.0014084317392900488,-0.004620839187532364,18.808293443612435,34.804542541503906,45.36421585083008,0.05788934603333473
5,1.0,-0.003402974922209978,-0.0019229988250679167,0.0006514926081079197,0.0021374430083847874,19.739245135829172,36.53327178955078,45.364646911621094,0.03202147036790848
6,1.2,-0.005705805495381355,0.0005325322040452134,-0.00032295385882463035,-0.0010595599381862002,20.077210865972848,38.32004165649414,45.36198806762695,-0.0773315355181694
7,1.4,-0.004989561624825001,0.0053148600319889855,-0.00651814124303687,-0.021384978515805085,19.822309825165718,40.106239318847656,45.3541145324707,-0.2622070014476776
8,1.6,0.007809513248503208,0.010681289506559414,-0.01829566876258317,-0.06002516190303337,19.391401846151734,41.85761260986328,45.3406867980957,-0.4508667290210724
9,1.8,-0.011698560789227486,0.019989191851304374,-0.02710810612306465,-0.08893735889279542,19.16251084418539,43.57773971557617,45.33025360107422,-0.3088073432445526
10,2.0,0.007268252782523632,0.02861585206897219,-0.04112744133457222,-0.1349325546281179,19.312582555096693,45.29506301879883,45.31461715698242,-0.5318604111671448
11,2.2,0.005723007023334503,0.02856151950462591,-0.05455895482646796,-0.17899920135286915,19.70388486522244,47.03951644897461,45.29954528808594,-0.4548645317554474
12,2.4,0.016711920499801636,0.023554196009029922,-0.06191614071255761,-0.2031369510953875,20.01519888721426,48.81773376464844,45.2905158996582,-0.238677978515625
13,2.6,-0.014784730970859528,0.009376550609583378,-0.05567154328870519,-0.18264942608331552,20.058802288384037,50.61150360107422,45.29507064819336,0.2603115439414978
14,2.8,-0.010903039947152138,0.011320446287264615,-0.052224550498547774,-0.1713403942576555,19.90262521511,52.39834213256836,45.29682922363281,0.05550437048077583
15,3.0,0.00035526789724826813,0.02000195544599914,-0.06073441580996477,-0.1992599007659648,19.732818861977606,54.16907501220703,45.28665542602539,-0.3678588569164276
16,3.2,0.026060227304697037,0.023025252150292174,-0.07362832775271186,-0.24156276282420716,19.690268739975494,55.929954528808594,45.27210235595703,-0.4786681830883026
17,3.4,-0.0026696952991187572,0.02972012836205106,-0.06994812071940447,-0.22948859238105096,19.78869826388463,57.69409942626953,45.27412033081055,0.18725940585136414
18,3.6,-0.008338171057403088,0.015094088669351203,-0.0582579369883566,-0.19113496998887988,19.945538608190898,59.470882415771484,45.28413772583008,0.38012027740478516
19,3.8,0.005008615553379059,0.015799063017046776,-0.05192988735233593,-0.17037365162103782,20.038234009844693,61.25936508178711,45.28878402709961,0.14955878257751465
20,4.0,0.008482259698212147,0.010388707397833133,-0.04515580998187797,-0.14814898762094453,20.023822214703287,63.0510139465332,45.29387283325195,0.19314178824424744
21,4.2,-0.009820823557674885,-0.0013130142860254246,-0.031169621817143917,-0.10226254204255844,19.948783673113073,64.83789825439453,45.306175231933594,0.4607812464237213
22,4.4,-0.018884532153606415,-0.0014510008600420025,-0.020321784687901624,-0.06667252407545517,19.888856928967254,66.61819458007812,45.31534194946289,0.2969345450401306
23,4.6,-0.0014282139018177986,0.011124411241361366,-0.025394380871007323,-0.08331490053683567,19.889104411714357,68.39578247070312,45.30859375,-0.2870482802391052
24,4.8,0.016993984580039978,0.017932678437203396,-0.03918612143096514,-0.12856339463556768,19.94216459399046,70.17619323730469,45.293128967285156,-0.523284912109375
25,5.0,0.007633895613253117,0.010216256243158169,-0.04337280904707671,-0.14229924683401116,19.99776738311503,71.96194458007812,45.28725814819336,-0.1080322265625
26,5.2,-0.008370771072804928,0.010531474107961583,-0.03619694283838032,-0.11875637794187169,20.022330697455725,73.7514419555664,45.29275131225586,0.26464828848838806
27,5.4,-0.007631492801010609,0.00950271267929635,-0.030756641158642694,-0.10090761857892129,20.0066103864319,75.54106903076172,45.2965087890625,0.13583268225193024
28,5.6,0.010613263584673405,0.01599694484026285,-0.03298886309045264,-0.10823118158168063,19.97519910817776,77.32830810546875,45.29259490966797,-0.1444701999425888
29,5.8,0.004935490898787975,0.00919457904069389,-0.03138663232219574,-0.10297451878795268,19.955200667883965,79.11309051513672,45.29251480102539,0.0473654568195343
30,6.0,-0.019035208970308304,9.215155283579536e-05,-0.022843660946586675,-0.07494639657999942,19.963062117383092,80.89742279052734,45.299373626708984,0.2803945243358612
31,6.2,-0.017274990677833557,0.00944995938495876,-0.024708352565832585,-0.08106415143208617,19.984486660456817,82.68315124511719,45.29582977294922,-0.15643310546875
32,6.4,0.014341012574732304,0.026939970792869763,-0.045249129181383234,-0.14845515298344936,20.005059374360076,84.47077941894531,45.27360916137695,-0.79833984375
33,6.6,0.037372179329395294,0.026187568172175553,-0.06397565571322111,-0.20989389029016436,20.007328362317086,86.25946044921875,45.25319290161133,-0.6153564453125
34,6.8,-1.3080425560474396e-05,0.0019743503021519533,-0.05344849438384514,-0.17535595831429449,19.9914162105174,88.04744720458984,45.26203536987305,0.4867139756679535
35,7.0,-0.010246477089822292,-0.010605507179870194,-0.027799091226105084,-0.09120437045825461,19.98634699574212,89.83440399169922,45.2859992980957,0.8781977295875549
36,7.2,-0.009507394395768642,-0.01547432686940623,-0.006671573111412533,-0.021888363926846694,19.98872347995819,91.62123107910156,45.30544662475586,0.6343033909797668
37,7.4,-0.01108643040060997,-0.010735374190552191,0.004894297827736085,0.016057408085149657,19.996311590628267,93.40866088867188,45.315330505371094,0.28219932317733765
38,7.6,-0.005648763384670019,-0.0004724401018972693,0.004777737730866427,0.01567499305693581,20.002412330529594,95.1967544555664,45.31352996826172,-0.1109618991613388
39,7.8,0.0016029058024287224,0.008886382938646483,-0.004343779947246477,-0.014251247002124132,20.00365990548755,96.98518371582031,45.30272674560547,-0.3793029487133026
40,8.0,0.005935302935540676,0.012305028898530175,-0.015521524074193062,-0.05092363704357556,20.000257808543225,98.77348327636719,45.28986740112305,-0.4033202826976776
41,8.2,0.011810672469437122,0.010035474863647777,-0.022694976736901594,-0.07445858747749623,19.996042587706334,100.56143188476562,45.281009674072266,-0.2359924167394638
42,8.4,-0.0025573638267815113,0.0013131139989212256,-0.019639898809224707,-0.06443536560925679,19.993997092228533,102.34912872314453,45.28237533569336,0.13342227041721344
43,8.6,-0.0044084154069423676,-0.0015261512267150292,-0.013259168018290773,-0.0435012088011291,19.996592592567197,104.1368408203125,45.28707504272461,0.19244304299354553
44,8.8,0.001650308258831501,0.00012502712237079307,-0.010074240467583475,-0.03305197109566657,20.00034409470188,105.92487335205078,45.28858184814453,0.058205559849739075
45,9.0,0.004695667885243893,0.0008473402628230699,-0.007374974900716874,-0.02419611265326795,20.00218665583464,107.71314239501953,45.28959274291992,0.05439412221312523
46,9.2,0.005541586317121983,-0.005929463672260487,-0.0011270015203689908,-0.0036975116680873998,20.001410128427985,109.50144958496094,45.29415512084961,0.19115379452705383
47,9.4,-0.0036782315000891685,-0.015207407215555949,0.010711192354354599,0.035141708323860744,19.99939821994827,111.28963470458984,45.3043098449707,0.3850610852241516
48,9.6,-0.0023491857573390007,-0.017554032021827374,0.02256808782631203,0.07404228526407756,19.998126400448626,113.07762145996094,45.31447982788086,0.34940820932388306
