step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,-0.0027823233305098146,-0.0033991644128838405,-1.7473136159006657,-5.73265640359154,19.650217165856773,-22.162921905517578,144.45858764648438,0.4842272996902466
1,0.2,-0.004543871669772845,-0.005551248018961485,-2.181079543020161,-7.155773007922265,20.185964413331003,-20.357084274291992,144.45010375976562,0.033021315932273865
2,0.4,-0.003702452493250485,-0.0045232862110041175,-2.611689057279804,-8.568533926685873,19.24570822917827,-18.589651107788086,144.44805908203125,-0.0354919470846653
3,0.6,-0.003686455173558952,-0.0045037422855369715,-3.016328778744935,-9.896092110457532,18.329107830796836,-16.917985916137695,144.4434051513672,-0.1833495944738388
4,0.8,-0.003632976132827499,-0.004438406941475356,-3.4029996130118434,-11.164697250353775,17.980452330682002,-15.302931785583496,144.43450927734375,-0.3189696967601776
5,1.0,-0.003550048126143917,-0.004337093795710023,-3.7894405379647367,-12.432548094576227,18.54114094870225,-13.676183700561523,144.42242431640625,-0.4437255561351776
6,1.2,-0.003466481368517178,-0.0042350002879174365,-4.191651438626138,-13.752137705902179,19.582015030282374,-11.969348907470703,144.40638732910156,-0.5687560439109802
7,1.4,-0.0033968434826350358,-0.004149923682735223,-4.609043521492467,-15.121534347053345,20.205735148658274,-10.183019638061523,144.3859405517578,-0.6976012587547302
8,1.6,-0.0033382104863285936,-0.004078291751147643,-5.027519186485307,-16.494486047788456,20.111286170072283,-8.376184463500977,144.36143493652344,-0.8259276747703552
9,1.8,-0.0032911477799647875,-0.004020795242782981,-5.435366236247063,-17.832566962528812,19.644925772176922,-6.5994157791137695,144.33355712890625,-0.9511411190032959
10,2.0,-0.0032492526769062773,-0.003969611995376399,-5.830154989562018,-19.127805695954653,19.25973921126011,-4.8637285232543945,144.30258178710938,-1.0718992948532104
11,2.2,-0.0030085403639094717,-0.0036755337625882017,-6.221845966148166,-20.41288111957755,19.085669727669952,-3.128124952316284,144.2684326171875,-1.1251219511032104
12,2.4,-0.002465527043445601,-0.003012134388977491,-6.616781034846468,-21.708599890365686,19.808243993118342,-1.3776350021362305,144.23387145996094,-1.05859375
13,2.6,-0.002628198085079813,-0.0032108696005420075,-7.015135621762553,-23.015537553303457,20.311553860613405,0.389787882566452,144.1985626220703,-1.2211607694625854
14,2.8,-0.0027283654400418133,-0.0033332440580990832,-7.406542172602116,-24.299679821559923,20.002714029207514,2.1782684326171875,144.15077209472656,-1.382965087890625
15,3.0,-0.0021669893466939663,-0.0026474108848560185,-7.798664926828948,-25.586171838537485,19.834511045526824,3.962905168533325,144.1046905517578,-1.2713013887405396
