step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,-0.000413567416037125,-0.0005052553121725556,0.0008295460987395393,0.00272160802258863,20.50109607146044,-29.468080520629883,-15.830384254455566,179.8005828857422
1,0.2,1.708716602582216e-05,2.087539073374693e-05,0.0006556154973469494,0.0021509695483157656,19.581658740434058,-31.267589569091797,-15.823654174804688,179.78199768066406
2,0.4,0.0001733276774250747,0.00021175442351021375,0.00030413755826655007,0.0009978266666632281,18.321408016773443,-32.9608039855957,-15.81713581085205,179.77804565429688
3,0.6,0.00022626058505020722,0.0002764225567558382,4.6991425203304123e-05,0.0001541713474640083,17.473030020447496,-34.55502700805664,-15.81107234954834,179.78211975097656
4,0.8,6.53233559809445e-05,7.980554400191989e-05,-2.408012946994724e-05,-7.90030519701817e-05,17.649147381494565,-36.11832809448242,-15.805307388305664,179.78897094726562
5,1.0,-2.5331840688451825e-05,-3.0947909769081596e-05,6.053055264503929e-06,1.985910583399507e-05,18.91408149057065,-37.75325012207031,-15.799382209777832,179.79241943359375
6,1.2,-3.118912855149777e-05,-3.810375835136483e-05,3.8901523168378776e-05,0.0001276296732717438,20.08714656532918,-39.50878143310547,-15.793022155761719,179.79229736328125
7,1.4,-9.043056751306984e-06,-1.1047902433071742e-05,3.924337813238066e-05,0.00012875124471183977,20.31047532471568,-41.32593536376953,-15.786404609680176,179.79124450683594
8,1.6,6.16206236024638e-06,7.528191585513003e-06,2.4900323565486045e-05,8.169397756658923e-05,19.793069204811363,-43.12314224243164,-15.779842376708984,179.7906951904297
9,1.8,8.209331301257506e-06,1.0029340050746295e-05,7.880962699947144e-06,2.5856177664494588e-05,19.172966257905,-44.864349365234375,-15.773483276367188,179.790771484375
10,2.0,8.290267713330085e-06,1.0128220065375364e-05,-1.877424551268228e-06,-6.159529564782853e-06,18.92909892397505,-46.565208435058594,-15.767279624938965,179.79104614257812
11,2.2,2.162986745280823e-07,2.6425209067095816e-07,-2.882899124305883e-06,-9.458330762987713e-06,19.23715088717652,-48.27068328857422,-15.761067390441895,179.79135131835938
12,2.4,-2.2796507040863176e-06,-2.7850492651822543e-06,2.564730322271447e-06,8.414469830521054e-06,19.810096324922895,-50.02008056640625,-15.754700660705566,179.7913818359375
13,2.6,-4.071506564076429e-07,-4.974159569332173e-07,3.6179662547513713e-06,1.1869968407238488e-05,20.162701205370784,-51.81349563598633,-15.748169898986816,179.79127502441406
14,2.8,8.030485658139364e-07,9.81084432854886e-07,9.747646094689414e-07,3.1980467213300816e-06,20.11704804278191,-53.6192626953125,-15.74159049987793,179.79124450683594
15,3.0,7.112432802744979e-07,8.68925915511354e-07,-1.3264604328973827e-07,-4.3519044466670486e-07,19.84742113787035,-55.40818786621094,-15.73507308959961,179.79127502441406
16,3.2,-7.891223301886245e-07,-9.640707507914426e-07,1.0839987119428199e-06,3.5564263340904813e-06,19.62576847655732,-57.17333221435547,-15.728644371032715,179.79135131835938
17,3.4,6.871649495879381e-07,8.395094189115841e-07,-2.9935868583589632e-06,-9.821479508378421e-06,19.617975470089863,-58.928157806396484,-15.722249031066895,179.79132080078125
18,3.6,1.1665811968308402e-06,1.4252122481682374e-06,-2.0274169166621496e-06,-6.651630516861847e-06,19.800782295055633,-60.69221878051758,-15.715825080871582,179.79132080078125
19,3.8,-1.711192200504216e-06,-2.0905635113560006e-06,2.8229962248079235e-07,9.261798934198827e-07,20.006392251828565,-62.475242614746094,-15.709333419799805,179.79136657714844
20,4.0,5.986769145941825e-07,7.314035865597128e-07,-1.969499885384491e-06,-6.461614003964854e-06,20.084789985760374,-64.27134704589844,-15.702789306640625,179.79132080078125
21,4.2,9.51887377004233e-07,1.1629208084860716e-06,-3.367301989076754e-06,-1.1047579057842577e-05,20.02127441207544,-66.06730651855469,-15.696246147155762,179.79132080078125
22,4.4,-5.238668820183224e-08,-6.400081697617845e-08,-3.6417477395981864e-06,-1.1947991653983314e-05,19.908011796855423,-67.85431671142578,-15.689737319946289,179.79136657714844
23,4.6,-4.0215548777889877e-07,-4.913133594194806e-07,-1.6870488701317904e-06,-5.534937415083183e-06,19.847077600706825,-69.63307189941406,-15.683259963989258,179.79136657714844
24,4.8,-6.025135679167691e-07,-7.360908259239167e-07,-1.895930951153861e-06,-6.220246101783634e-06,19.8771681865081,-71.41069030761719,-15.676785469055176,179.79136657714844
25,5.0,3.817432278885632e-07,4.663757015114577e-07,-2.5592042225094144e-06,-8.396339581377787e-06,19.9600692823678,-73.19402313232422,-15.670289993286133,179.79132080078125
26,5.2,4.0805071373403727e-07,4.985155569688733e-07,-1.606450517181203e-06,-5.270507114788778e-06,20.025594383201998,-74.98445892333984,-15.663768768310547,179.79132080078125
27,5.4,-3.560289415498971e-07,-4.349605578915093e-07,-1.5954517484061126e-06,-5.2344219142407106e-06,20.033127146393717,-76.77812194824219,-15.657236099243164,179.79135131835938
28,5.6,6.971131363513822e-07,8.516631186804836e-07,-2.215458542720577e-06,-7.268565005299377e-06,19.995136895500295,-78.57003021240234,-15.65070915222168,179.79132080078125
29,5.8,1.222575421801273e-07,1.4936203928146152e-07,-3.4613001731972383e-06,-1.1355972060232428e-05,19.953818584346372,-80.35801696777344,-15.644195556640625,179.79136657714844
30,6.0,-2.9639327909884136e-06,-3.621036690750545e-06,5.002771544257781e-06,1.64132929932627e-05,19.942812752340913,-82.14360046386719,-15.637700080871582,179.79136657714844
31,6.2,4.404880766942517e-07,5.381442832973673e-07,1.967930217904078e-06,6.4564641761084156e-06,19.965018712234055,-83.92987060546875,-15.63119125366211,179.791259765625
32,6.4,-1.410817197069431e-07,-1.723595369659724e-07,5.038878511164808e-06,1.6531754174569947e-05,19.99767561909738,-85.71886444091797,-15.624678611755371,179.79124450683594
33,6.6,1.7637951333790565e-06,2.1548285144491934e-06,-5.238019886923562e-07,-1.71851051658143e-06,20.015435579741286,-87.51020050048828,-15.618147850036621,179.79124450683594
34,6.8,3.0121370425812232e-06,3.6799278249214806e-06,-8.183597829727277e-06,-2.684907510368244e-05,20.01010216631041,-89.30201721191406,-15.611614227294922,179.79127502441406
