step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,0.0013304881161249576,0.0016254573314698607,-0.00020976540838037216,-0.0006882067424306602,19.82978467727717,25.343910217285156,45.374324798583984,-0.103485107421875
1,0.2,5.8047051773051654e-05,7.09160831511372e-05,4.8138429503310446e-05,0.00015793448505164103,20.34698417346215,27.15608787536621,45.37287521362305,-0.05718992277979851
2,0.4,-0.000651762352170964,-0.0007962580656472667,0.0010628561660721795,0.003487061023896249,19.50684569992657,28.94152069091797,45.37220764160156,-0.0408325158059597
3,0.6,-0.0004618619635092517,-0.0005642567608192528,0.0017861019366861117,0.005859914677957262,18.424906760119615,30.63191795349121,45.371337890625,-0.056457508355379105
4,0.8,-0.00010688038703937912,-0.00013057576884600947,0.002010236387705048,0.00659526395023823,17.874996775001314,32.24658203125,45.37004470825195,-0.0738525465130806
5,1.0,3.115665563513771e-05,3.8064086189447743e-05,0.0019937500474968024,0.006541174905829409,18.30319404568492,33.85661697387695,45.36851119995117,-0.0790405198931694
6,1.2,-0.0002865709218124376,-0.00035010369517825507,0.0019519388122936094,0.006403998932925366,19.43969025452188,35.5450325012207,45.366878509521484,-0.077972412109375
7,1.4,9.397556231873313e-05,0.00011480994448479627,0.0017168166905958337,0.005632600871174435,20.248662764226726,37.327880859375,45.36496353149414,-0.08630368858575821
8,1.6,0.00026400376565501195,0.00032253340050072813,0.0014286037417684673,0.004687020300143658,20.246070485821928,39.144222259521484,45.36296463012695,-0.087677001953125
9,1.8,0.0001479210554368857,0.00018071515342724326,0.0013403897726614311,0.00439760438173853,19.745327162067912,40.93242263793945,45.3611946105957,-0.0806274339556694
10,2.0,5.384304053577949e-06,6.57800426225618e-06,0.0014544707320180519,0.0047718857564341055,19.262687352054638,42.67292785644531,45.35966873168945,-0.0745544359087944
11,2.2,-5.772458270428056e-05,-7.052212268981955e-05,0.0016466399316157545,0.005402362153242232,19.153698678719053,44.386234283447266,45.358245849609375,-0.0724792405962944
12,2.4,-4.8839408909980066e-05,-5.966710586532265e-05,0.0017889192771782378,0.00586915792133745,19.48292284833176,46.11157989501953,45.35676574707031,-0.07330322265625
13,2.6,-2.2941370327608727e-05,-2.802747212923958e-05,0.0018861510392732222,0.006188159775689158,19.944495488880072,47.876014709472656,45.35520553588867,-0.0748290866613388
14,2.8,-0.00038872955451341325,-0.00047491089674903694,0.0019425361059827338,0.006373150157952393,20.17139276381168,49.672698974609375,45.35356903076172,-0.0760497897863388
15,3.0,6.549403162493973e-05,8.001405843618888e-05,0.0017414412019269813,0.005713389952930117,20.081942869469295,51.47403335571289,45.35166931152344,-0.0867919847369194
16,3.2,0.0002997645449560428,0.00036622234457279746,0.001433161819386357,0.0047019746235155355,19.846894148476693,53.25859832763672,45.34967803955078,-0.0895996019244194
17,3.4,0.0001780438091598113,0.00021751612165054146,0.001304683569488245,0.004280458042119814,19.68363396042097,55.02407455444336,45.3478889465332,-0.0817260667681694
18,3.6,-9.482791363273017e-07,-1.1585126208510644e-06,0.001402231683006724,0.00460049779487578,19.706153853534776,56.78347396850586,45.34632873535156,-0.0740661546587944
19,3.8,-6.719321440660504e-05,-8.208995004054937e-05,0.0015741354462225693,0.005164486537384854,19.870572938687342,58.552528381347656,45.34483337402344,-0.0719909593462944
20,4.0,-4.813100829110928e-05,-5.880165282924821e-05,0.0017151271588593795,0.005627057787872207,20.031470368763404,60.33735656738281,45.34329605102539,-0.073638916015625
21,4.2,-6.967585205791371e-06,-8.512298845915317e-06,0.0017836731362324632,0.005851946172276914,20.078132823729565,62.13161849975586,45.341678619384766,-0.0757140964269638
22,4.4,1.5309298285307843e-05,1.8703369715160593e-05,0.0018347060512519417,0.00601937700118942,20.013290796433598,63.92432403564453,45.34004211425781,-0.0766296312212944
23,4.6,-0.00035747820096295076,-0.0004367311181164369,0.0018794015113594417,0.006166015654528511,19.918358195110812,65.70903778076172,45.338401794433594,-0.0765380784869194
24,4.8,5.4014109544798744e-05,6.598903763088062e-05,0.0017067235012257081,0.005599486731761352,19.87428545976113,67.48719787597656,45.336551666259766,-0.0858154222369194
25,5.0,0.00027083778767382635,0.0003308825252011136,0.001412563216359556,0.004634393902761086,19.90596946313845,69.26508331298828,45.3345832824707,-0.0881042405962944
26,5.2,0.0001543870211713879,0.0001886146237650846,0.0013044478278825358,0.004279684611630139,19.976554876331928,71.04811096191406,45.33279800415039,-0.080718994140625
27,5.4,-8.656527901091449e-06,-1.0575680136763423e-05,0.0014028955684401996,0.0046026758967613445,20.027932273938735,72.83694458007812,45.33121109008789,-0.0739440843462944
28,5.6,-6.535981985362646e-05,-7.985009191517545e-05,0.0015688937322593693,0.005147289312545829,20.029852680317248,74.62808227539062,45.32969284057617,-0.0725097507238388
29,5.8,-4.100842969561249e-05,-5.009999855912978e-05,0.001698225361127639,0.005571605693802003,19.9956266094862,76.41744232177734,45.32814025878906,-0.0743408054113388
30,6.0,8.816837361222435e-07,1.077153020420545e-06,0.0017663492166327696,0.005795109163897456,19.961071620767495,78.20343017578125,45.3265266418457,-0.0762328952550888
31,6.2,2.0806092560843806e-05,2.541880328158288e-05,0.001813383596998442,0.005949421440376368,19.953156963738635,79.98748016357422,45.324886322021484,-0.0767822116613388
32,6.4,1.8422284636027283e-05,2.250650513983453e-05,0.0018551071354853147,0.00608630969438564,19.972853611378106,81.772216796875,45.32324981689453,-0.0763244479894638
33,6.6,-0.0003425119410090143,-0.0004184468383307128,0.0019295793809174298,0.00633064121608914,20.00042225305422,83.559326171875,45.3216438293457,-0.0757140964269638
34,6.8,1.587344861043196e-05,1.9392592167364724e-05,0.0017830181952668937,0.005849797415759436,20.014787054991963,85.34835815429688,45.3198127746582,-0.0845641940832138
35,7.0,0.00023114698848792967,0.0002823922758357037,0.0015224133321251841,0.004994794556569589,20.009603862033423,87.13773345947266,45.31786346435547,-0.087799072265625
36,7.2,0.00016321721877844716,0.0001994024761816289,0.0013877993022147971,0.004553147462678395,19.994191573254696,88.92604064941406,45.316043853759766,-0.081939697265625
37,7.4,2.100639325904396e-05,2.5663510644574004e-05,0.001446626880704527,0.00474615133529064,19.98296024965136,90.71307373046875,45.31441879272461,-0.0753784030675888
38,7.6,-4.34171479932207e-05,-5.304272970331773e-05,0.001588769140966401,0.005212497348448207,19.983672859072843,92.4996566772461,45.31288146972656,-0.0731201097369194
39,7.8,-3.625093715439985e-05,-4.4287769921530296e-05,0.0017209830215813603,0.00564626993652499,19.993429082263752,94.28677368164062,45.31132888793945,-0.0740051195025444
40,8.0,-1.2415422305543187e-05,-1.5167921430682111e-05,0.001819261724140879,0.0059687066350303615,20.003315243214974,96.07485961914062,45.30974578857422,-0.0754699558019638
41,8.2,8.508957336033703e-06,1.0395393177432375e-05,0.0018629750872916932,0.006112123185390079,20.006408666007772,97.86354064941406,45.308109283447266,-0.0762939378619194
42,8.4,-0.0003544528599760279,-0.00043303505903271325,0.0019079254969212285,0.0062595982873190435,20.002395800541034,99.65213775634766,45.30646896362305,-0.0763244479894638
43,8.6,4.604177808153063e-05,5.624924028220597e-05,0.0017324084174410418,0.005683754832277267,19.996178658814973,101.44020080566406,45.30460739135742,-0.0856017991900444
44,8.8,0.0002644074627290844,0.00032302659721612244,0.0014462109984377835,0.004744786892114617,19.993066346548957,103.22782897949219,45.302635192871094,-0.0881957933306694
45,9.0,0.00015689096864852266,0.00019167369639790013,0.0013265642147961723,0.004352244938471874,19.994767124509035,105.01539611816406,45.30083465576172,-0.0811157152056694
46,9.2,1.7612951358228155e-08,2.1517742674347336e-08,0.0014095368799249678,0.004624464977133032,19.999006778360535,106.80327606201172,45.29923629760742,-0.0743713229894638
47,9.4,-6.202186883430541e-05,-7.577211715487092e-05,0.001580291834964982,0.005184684663826512,20.00222200331572,108.59151458740234,45.2977180480957,-0.0726623460650444
48,9.6,-3.8824957493818634e-05,-4.7432450570198226e-05,0.0017041336182417328,0.005590989740072207,20.00241478151882,110.37995147705078,45.29616165161133,-0.0742797702550888
49,9.8,-1.1011152160700586e-06,-1.3452324594727905e-06,0.0017773586005475682,0.0058312291910204836,20.00027119085221,112.16822052001953,45.2945442199707,-0.0760192722082138
50,10.0,1.7232503095669755e-05,2.105294903197974e-05,0.0018206605813127193,0.005973296061594022,19.998005576386564,113.9562759399414,45.29290771484375,-0.0765991061925888
51,10.2,-0.0003693869957501858,-0.00045128009270800195,0.0018650215222218484,0.006118837210966329,19.99738245663105,115.74424743652344,45.29126739501953,-0.0762939378619194
52,10.4,5.951624004220748e-05,7.271099045956488e-05,0.0016790299703889739,0.0055086286880509615,19.99849779479885,117.53221130371094,45.289398193359375,-0.0858764499425888
53,10.6,0.0002790453336355986,0.0003409096841026108,0.0013882312461498411,0.0045545646016182445,20.000187272944682,119.32032012939453,45.28742599487305,-0.088226318359375
54,10.8,0.00015341798421276474,0.00018743075131273467,0.0012813297640777439,0.004203837943176825,20.00111990749361,121.10857391357422,45.28563690185547,-0.0806579515337944
55,11.0,-1.699826331757256e-05,-2.0766778295078397e-05,0.0013872655715946175,0.004551396377910485,20.00082849770768,122.8968505859375,45.2840576171875,-0.0738220140337944
56,11.2,-6.966437089423332e-05,-8.510896192148485e-05,0.0015612752522296744,0.005122294298525205,19.99984129792784,124.68502807617188,45.28254318237305,-0.0726013034582138
57,11.4,-3.5116837769729824e-05,-4.290224070327893e-05,0.001682074925971438,0.005518618700124133,19.999080548452003,126.47315216064453,45.28097915649414,-0.0745849460363388
58,11.6,6.178213419641626e-06,7.547923334776175e-06,0.0017399329747233051,0.005708441700791209,19.999074473669694,128.2612762451172,45.27935028076172,-0.0763244479894638
59,11.8,2.073093141042036e-05,2.5326978904110557e-05,0.0017749123778368434,0.005823203525702229,19.99966527828785,130.04940795898438,45.2777099609375,-0.0766906589269638
60,12.0,1.770195592908547e-05,2.162647955856372e-05,0.0018232245985339629,0.005981708191854167,20.00029225301844,131.8375244140625,45.27607345581055,-0.0762023851275444
61,12.2,-0.0003577363736503753,-0.00043704652768866345,0.0019020831383810988,0.006240430443726244,20.000509696552804,133.62567138671875,45.27446746826172,-0.0756225511431694
62,12.4,2.7104986048882116e-05,3.311416145591928e-05,0.0017444161754606262,0.0057231503650982405,20.00024449406481,135.41380310058594,45.27262496948242,-0.0848693698644638
63,12.6,0.00024869213706947487,0.0003038271838577774,0.0014723083453715671,0.004830408111828852,19.999850337907255,137.20193481445312,45.270668029785156,-0.0879821702837944
64,12.8,0.00016371771268500866,0.00020001392958727507,0.0013413298741712344,0.004400688704375952,19.999631295356416,138.99005126953125,45.26885223388672,-0.0815429612994194
65,13.0,1.2730215388298126e-05,1.555250413988382e-05,0.0014125446455879346,0.004634332975030719,19.99971725062915,140.77818298339844,45.26723861694336,-0.0747680515050888
66,13.2,-5.812430970632356e-05,-7.10104691682155e-05,0.0015874992818201616,0.005208331143766859,19.999971296894202,142.56629943847656,45.26572799682617,-0.0726928636431694
67,13.4,-4.1891377677376416e-05,-5.1178696108450765e-05,0.0017113623295992061,0.005614705985442259,20.00017684975445,144.35443115234375,45.26417541503906,-0.0740661546587944
68,13.6,-7.196375930387473e-06,-8.791812474154376e-06,0.0017940211877327651,0.005885896473561165,20.000202883755275,146.14256286621094,45.2625732421875,-0.0758361741900444
69,13.8,1.4609499419868701e-05,1.7848425441253593e-05,0.0018423334084298843,0.006044401139713102,20.000079190234022,147.93067932128906,45.26093673706055,-0.0765991061925888
70,14.0,-0.00036614397184705697,-0.0004473180904055495,0.001886845310840581,0.006190437569618212,19.999940354038955,149.71881103515625,45.25929641723633,-0.0764160081744194
71,14.2,6.0068192976319665e-05,7.338531135916973e-05,0.0016896069647644712,0.0055433301142778675,19.99987592237514,151.50692749023438,45.257415771484375,-0.0859374850988388
72,14.4,0.0002760445155464442,0.0003372435846430909,0.001399850084246756,0.004592684150400127,19.999937685580395,153.29505920410156,45.25544357299805,-0.0882568284869194
73,14.6,0.000155334391539202,0.00018977202614344307,0.001295574482052427,0.004250572583696884,20.000051168097702,155.0831756591797,45.25365447998047,-0.0807495042681694
74,14.8,-1.1514447080253285e-05,-1.4067199997945438e-05,0.0013932890676415996,0.004571158504681265,20.000118118171727,156.87130737304688,45.25206756591797,-0.0739135667681694
75,15.0,-6.841108986260434e-05,-8.357782848514372e-05,0.0015638746014854088,0.005130822347537389,20.00008871166708,158.659423828125,45.25055694580078,-0.0725402757525444
76,15.2,-3.901541196528547e-05,-4.766512879798926e-05,0.001688495110914116,0.0055396822996914685,20.000023417266934,160.4475555419922,45.24899673461914,-0.0744323655962944
77,15.4,1.2287465446323739e-06,1.501159653577371e-06,0.0017597098823308164,0.005773326570346236,19.999970465043095,162.23568725585938,45.24738311767578,-0.0762634128332138
78,15.6,1.8804111726156973e-05,2.2972983295845974e-05,0.0018056351857781388,0.005924000142908349,19.999976799217524,164.02381896972656,45.24574279785156,-0.0767822116613388
79,15.8,1.9624790274392713e-05,2.3975606278225577e-05,0.0018411042960076371,0.006040368618513696,20.000019261029202,165.81195068359375,45.24409866333008,-0.0764160081744194
80,16.0,-0.00034728161596428154,-0.0004242739502235628,0.0019123046901384738,0.006273965719593911,20.00006387512355,167.60006713867188,45.24248504638672,-0.0758056491613388
81,16.2,2.1840973368437637e-05,2.668311716422026e-05,0.0017622671183625735,0.005781716452608666,20.00005237157374,169.38819885253906,45.24065017700195,-0.0847472995519638
82,16.4,0.00024194860133169922,0.00029558860624693693,0.0014939739838458004,0.004901489605160656,20.00003594239924,171.17633056640625,45.23869705200195,-0.087890625
83,16.6,0.00016368940371599288,0.00019997934451982852,0.001358800112475482,0.00445800576101406,20.000026040004016,172.96444702148438,45.23687744140625,-0.0816650316119194
84,16.8,1.3355363812118142e-05,1.6316247969264735e-05,0.0014265808929175955,0.004680383656719764,20.000015972863725,174.75257873535156,45.23526382446289,-0.0749816745519638
85,17.0,-5.105988759384281e-05,-6.237986467339776e-05,0.001581704589638729,0.005189319685870328,20.000020416862068,176.5406951904297,45.233734130859375,-0.0728759765625
86,17.2,-3.886711074885034e-05,-4.7483949201870464e-05,0.001714786134876771,0.005625938942749106,20.00003601420377,178.32882690429688,45.232181549072266,-0.0740661546587944
87,17.4,-8.304268392816866e-06,-1.0145324695504365e-05,0.0017965943134654987,0.005894338487390146,20.00004495713997,180.116943359375,45.23058319091797,-0.0756835788488388
88,17.6,1.1734775854072692e-05,1.4336375660920609e-05,0.001848754641900837,0.006065468179333942,20.00004074979673,181.9050750732422,45.22895050048828,-0.0764465183019638
