step,time_sec,steer_norm,steer_rad,cte_m,cte_ft,speed_mph,x,y,yaw
0,0.0,0.13966985641017798,0.17063466357631443,0.08291663348605147,0.2720362078063771,20.172580272955155,-19.830217361450195,142.50547790527344,171.82936096191406
1,0.2,0.013578663197729095,0.016589052828665636,0.015582552755739072,0.05112386238313898,19.710873031788413,-21.612497329711914,142.57354736328125,179.21771240234375
2,0.4,-0.04702402778013032,-0.05744925473898521,0.05705265522830389,0.18718063337922852,19.032871081928608,-23.346742630004883,142.52801513671875,-177.89952087402344
3,0.6,-0.07239473804708942,-0.08844465147212914,0.08637403427384535,0.2833793866070028,18.399291387873344,-25.017024993896484,142.49478149414062,-178.7709503173828
4,0.8,0.0013005575717476895,0.0015888911854041524,0.061312387186787616,0.20115613237790028,18.337569105584972,-26.65509796142578,142.51600646972656,179.08119201660156
5,1.0,0.03238568511020736,0.03956559149914034,0.014207386188356548,0.0466121609022077,18.983472301830425,-28.3228759765625,142.5592041015625,178.47154235839844
6,1.2,0.021452100249938853,0.026208030875350296,-0.013666046367774208,-0.04483611156524833,19.76031392347911,-30.060956954956055,142.58299255371094,179.29849243164062
7,1.4,0.003514546012317562,0.004293720863248365,-0.016423297835028335,-0.05388221246907436,20.09111740589664,-31.85052490234375,142.58155822753906,-179.82435607910156
8,1.6,-0.0051445301671564315,-0.006285072505215012,-0.007374767554936947,-0.024195432384939333,19.9114528956665,-33.643714904785156,142.5683135986328,-179.50108337402344
9,1.8,-0.005276404182454431,-0.006446182989704579,0.0010594570654140485,0.0034759091184930267,19.549532919114373,-35.40912628173828,142.55572509765625,-179.5859375
10,2.0,-0.0053018233796491,-0.006477237622917306,0.004708906542303989,0.015449168940252618,19.34246123530474,-37.147422790527344,142.54800415039062,-179.76834106445312
11,2.2,0.001124041526783528,0.001373241533271436,0.002808066599357029,0.009212817221834514,19.44679332238748,-38.88172912597656,142.54583740234375,-179.95761108398438
12,2.4,0.0030315826080939312,0.0037036844723083557,-0.0005494684220491166,-0.0018027179777956237,19.754798863012216,-40.63675308227539,142.54507446289062,-179.98130798339844
13,2.6,0.0012238957913706045,0.0014952334883174675,-0.0017193542518065576,-0.005640926203497027,20.009737209801365,-42.41879653930664,142.5420684814453,-179.8929901123047
14,2.8,-0.00046745751742338697,-0.0005710928490361519,-0.00096298879186989,-0.00315941214791841,20.05456471370167,-44.21409606933594,142.53709411621094,-179.83009338378906
15,3.0,-0.0008055109687714278,-0.0009840927505480534,0.0001555727894116754,0.0005104094304134012,19.9329637995534,-46.004539489746094,142.53179931640625,-179.82843017578125
16,3.2,-0.00039672387392302377,-0.00048467755677175813,0.0005979186103510235,0.001961675293584052,19.793371638717186,-47.78204345703125,142.52716064453125,-179.8533477783203
17,3.4,-2.7720546262973505e-06,-3.386619136947473e-06,0.0005127695120412131,0.0016823147258852936,19.755522680479903,-49.55128860473633,142.52310180664062,-179.871826171875
18,3.6,0.00013521332053523631,0.0001651901136978982,0.00026028124336744535,0.0008539411144896494,19.836426279029446,-51.32307434082031,142.5192108154297,-179.87625122070312
19,3.8,0.00019067553777636474,0.0002329483045013848,2.5360755338810475e-05,8.320458054578295e-05,19.95872499721571,-53.1048583984375,142.5152587890625,-179.8729248046875
20,4.0,4.759717491845781e-05,5.81494685978799e-05,-4.2221706467855625e-05,-0.00013852266344799945,20.029354269863138,-54.89571762084961,142.51112365722656,-179.86660766601562
21,4.2,-3.539516131305409e-05,-4.3242268576158184e-05,-4.995845767017033e-05,-0.00016390570626260162,20.016443945231273,-56.68885040283203,142.50692749023438,-179.8633575439453
22,4.4,-3.32058928249655e-05,-4.056763926426035e-05,-2.5584942839005373e-05,-8.394010386392239e-05,19.95738586812725,-58.47818374633789,142.50270080566406,-179.86373901367188
23,4.6,-1.6706082127326443e-05,-2.0409820534954717e-05,5.901971997729236e-06,1.9363425809029984e-05,19.91253198363691,-60.26247024536133,142.4984893798828,-179.8649139404297
24,4.8,-1.9130912185769785e-05,-2.3372235417354945e-05,5.8302786929654264e-05,0.0001912821154702869,19.916143305388392,-62.044960021972656,142.49424743652344,-179.86569213867188
25,5.0,-8.490230756380428e-06,-1.0372514915069969e-05,8.922813243776833e-05,0.0002927432260271279,19.9579984032809,-63.829803466796875,142.4900360107422,-179.86634826660156
26,5.2,-7.281910800112338e-06,-8.896310424497243e-06,0.00012993057911797655,0.0004262814411934222,20.001148830900235,-65.61876678466797,142.48580932617188,-179.86680603027344
27,5.4,-4.182208004160762e-06,-5.109403518683203e-06,0.00014079947678333573,0.0004619405554098392,20.01608396528188,-67.4103775024414,142.48158264160156,-179.86708068847656
28,5.6,4.869090027662184e-07,5.94856728679489e-07,0.00014833110410072785,0.00048665061957783195,20.00127222805434,-69.20182800292969,142.47738647460938,-179.86727905273438
29,5.8,-9.222358002162546e-07,-1.1266954771241983e-06,9.368310894519705e-05,0.0003073592911517603,19.97717857281158,-70.99131774902344,142.47323608398438,-179.86729431152344
30,6.0,3.0500552492650536e-05,3.726252498027116e-05,3.2434623989180227e-05,0.00010641281176866205,19.965652216341304,-72.77910614013672,142.46910095214844,-179.86729431152344
31,6.2,1.3703422341695806e-06,1.6741471074849766e-06,5.3593654316694684e-05,0.0001758322048283846,19.973678850772593,-74.56681060791016,142.4648895263672,-179.86651611328125
32,6.4,-1.1913615671953231e-05,-1.4554864266425262e-05,6.249483852976257e-05,0.0002050355660419862,19.991867359146866,-76.3558349609375,142.46067810058594,-179.8662109375
33,6.6,-9.741303823699503e-06,-1.1900950881413683e-05,9.536466712562296e-05,0.00031287621449242883,20.005321785128068,-78.14635467529297,142.45645141601562,-179.86648559570312
34,6.8,-4.492931930910096e-06,-5.489014939992864e-06,0.00012850652719308456,0.00042160935467615957,20.00617911698702,-79.93751525878906,142.4522247314453,-179.86688232421875
35,7.0,-7.640378271987597e-06,-9.334250134887247e-06,0.00014723189323379157,0.0004830442845971527,19.99772254097223,-81.72824096679688,142.447998046875,-179.8670654296875
36,7.2,1.19017036092175e-05,1.4540311299381019e-05,8.665752342862181e-05,0.0002843094691655596,19.98918901748214,-83.51813507080078,142.44384765625,-179.86732482910156
