step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.003689,-0.018281,0,19.627
1,10.0,656.2811,13.7666,-110.0416,-0.034304,0.00642,0,18.766
2,12.0,655.7004,12.2367,-110.908,-0.027378,0.01823,0,17.979
3,14.0,655.1083,10.755,-111.8658,-0.044502,0.025487,0,17.878
4,16.0,654.4691,9.256,-113.1973,-0.069565,0.044627,0,18.664
5,16.0,653.7396,7.7011,-115.3616,-0.094915,0.134205,0,19.658
6,18.0,652.9028,6.1273,-118.4745,-0.070791,0.154555,0,20.071
7,20.0,651.9885,4.5901,-121.2657,-0.047816,0.153613,0,19.87
8,22.0,651.0365,3.1142,-123.24,-0.054367,0.149827,0,19.445
9,22.0,650.0541,1.6986,-125.1065,-0.077746,0.203593,0,19.179
10,24.0,649.0168,0.3323,-127.5778,-0.068805,0.209566,0,19.272
11,26.0,647.9055,-1.0063,-130.0686,-0.054016,0.198822,0,19.656
12,28.0,646.7221,-2.3296,-132.1554,-0.06132,0.185518,0,20.002
13,30.0,645.4783,-3.6219,-134.3097,-0.057099,0.171364,0,20.072
14,30.0,644.1916,-4.8641,-136.4237,-0.065708,0.226564,0,19.926
15,32.0,642.8695,-6.0436,-138.7006,-0.06111,0.22736,0,19.738
16,34.0,641.5107,-7.1628,-140.93,-0.097994,0.220217,0,19.681
17,36.0,640.0954,-8.2104,-144.0243,-0.047536,0.183253,0,19.749
18,36.0,638.627,-9.207,-146.223,-0.042373,0.19453,0,19.939
19,38.0,637.1177,-10.1681,-147.8422,-0.06473,0.183275,0,20.061
20,40.0,635.5718,-11.0767,-149.9609,-0.062519,0.172634,0,20.039
21,42.0,633.9965,-11.9212,-152.2368,-0.071688,0.156022,0,19.95
22,44.0,632.3941,-12.6941,-154.7236,-0.04341,0.126844,0,19.872
23,44.0,630.7682,-13.4105,-156.5817,-0.056372,0.164299,0,19.887
24,46.0,629.1161,-14.0737,-158.499,-0.100915,0.165231,0,19.946
25,48.0,627.4292,-14.6526,-161.6241,-0.055039,0.138685,0,19.969
26,50.0,625.714,-15.1572,-164.0619,-0.056639,0.096928,0,20.019
27,52.0,623.9794,-15.5993,-166.1252,-0.046202,0.054278,0,20.021
28,52.0,622.2324,-15.9847,-167.9168,-0.070988,0.08861,0,20.0
29,54.0,620.4753,-16.3013,-170.2275,-0.054737,0.070504,0,19.956
30,56.0,618.709,-16.5507,-172.3644,-0.077963,0.04875,0,19.957
31,58.0,616.9335,-16.7232,-174.9384,-0.042758,0.013626,0,19.963
32,60.0,615.15,-16.8331,-176.8442,-0.03656,-0.010099,0,20.007
33,60.0,613.361,-16.8967,-178.2625,-0.032229,0.033257,0,20.032
34,62.0,611.5703,-16.9204,-179.4916,0.007153,0.038294,0,20.026
35,64.0,609.7809,-16.9332,-179.6513,0.006086,0.037989,0,20.003
36,66.0,607.9935,-16.9504,-179.4393,-0.010806,0.042113,0,19.984
37,68.0,606.2073,-16.9623,-179.6565,0.001665,0.040925,0,19.981
38,70.0,604.4203,-16.9714,-179.7185,0.001248,0.036907,0,19.994
39,72.0,602.632,-16.9815,-179.6747,0.005352,0.033999,0,20.009
40,74.0,600.8427,-16.9957,-179.5216,0.001478,0.035095,0,20.014
41,74.0,599.0535,-17.0131,-179.4281,-0.008495,0.039394,0,20.008
42,76.0,597.2652,-17.0257,-179.6316,0.000917,0.038833,0,19.997
43,78.0,595.4777,-17.0356,-179.6925,0.006585,0.035706,0,19.992
44,80.0,593.6901,-17.05,-179.5161,-0.000249,0.037018,0,19.994
45,82.0,591.9023,-17.0667,-179.4558,-0.00592,0.04066,0,20.0
46,84.0,590.114,-17.0797,-179.6093,-0.00488,0.040519,0,20.005
47,86.0,588.3252,-17.0871,-179.7965,0.011334,0.034834,0,20.005
48,88.0,586.5369,-17.0999,-179.5539,-0.002228,0.034585,0,20.001
49,90.0,584.7488,-17.1154,-179.5004,-0.0046,0.036963,0,19.997
50,92.0,582.9606,-17.1273,-179.6371,-0.002213,0.035787,0,19.997
51,92.0,581.1725,-17.136,-179.7423,0.013659,0.031385,0,19.999
52,94.0,579.3844,-17.1528,-179.4116,0.001124,0.035079,0,20.0
53,96.0,577.5963,-17.1756,-179.2458,-0.006605,0.044754,0,20.002
54,98.0,575.8082,-17.1949,-179.3994,-0.007293,0.051026,0,20.001
55,100.0,574.02,-17.2071,-179.6554,0.009107,0.050065,0,20.0
