step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.005622,-0.018281,0,19.627
1,10.0,656.2801,13.767,-110.0898,-0.101152,0.005301,0,18.766
2,12.0,655.6677,12.2535,-112.3494,-0.052762,-0.018378,0,17.923
3,14.0,655.0129,10.8032,-114.4641,-0.001408,-0.081283,0,17.845
4,16.0,654.3259,9.3253,-114.9752,-0.046272,-0.114317,0,18.693
5,16.0,653.5707,7.7774,-116.1745,-0.055278,-0.050673,0,19.719
6,18.0,652.7371,6.1946,-118.0568,-0.079249,-0.022198,0,20.131
7,20.0,651.8372,4.6471,-120.6615,-0.050609,-0.003853,0,19.859
8,22.0,650.8989,3.1658,-122.7639,-0.104848,0.00853,0,19.401
9,22.0,649.9072,1.7654,-125.8304,-0.023838,0.045833,0,19.095
10,24.0,648.8719,0.4017,-127.4471,-0.097849,0.053488,0,19.271
11,26.0,647.7619,-0.938,-130.0896,-0.062715,0.046516,0,19.667
12,28.0,646.5668,-2.2538,-132.6408,-0.066156,0.022051,0,20.037
13,30.0,645.3061,-3.5339,-135.0182,-0.046354,-0.009552,0,20.101
14,30.0,644.0067,-4.7658,-136.9154,-0.077439,0.029541,0,19.939
15,32.0,642.6721,-5.9299,-139.3793,-0.08808,0.014174,0,19.717
16,34.0,641.2903,-7.0151,-142.3786,-0.040255,-0.029798,0,19.641
17,36.0,639.8661,-8.0518,-144.2984,-0.03636,-0.076156,0,19.781
18,38.0,638.4026,-9.0614,-145.679,-0.119305,-0.103887,0,19.976
19,38.0,636.8817,-9.9992,-148.9537,-0.051637,-0.083092,0,20.002
20,40.0,635.3165,-10.8665,-151.4669,-0.039415,-0.133238,0,20.013
21,42.0,633.7281,-11.686,-153.0663,-0.025792,-0.171544,0,19.968
22,44.0,632.1265,-12.4698,-154.1612,-0.055718,-0.183023,0,19.927
23,44.0,630.5062,-13.2065,-155.8709,-0.060341,-0.124648,0,19.905
24,46.0,628.86,-13.8847,-157.9844,-0.042623,-0.099238,0,19.933
25,48.0,627.1897,-14.5131,-159.7123,-0.072018,-0.064563,0,19.989
26,50.0,625.4938,-15.0779,-162.0163,-0.052666,-0.033764,0,20.001
27,52.0,623.7771,-15.5794,-164.1129,-0.072361,-0.005057,0,20.006
28,52.0,622.0428,-16.0097,-166.5309,-0.113564,0.07582,0,19.976
29,54.0,620.291,-16.3352,-170.1329,-0.059425,0.076664,0,19.919
30,56.0,618.5246,-16.574,-172.8056,-0.157866,0.053526,0,19.962
31,58.0,616.7492,-16.6878,-177.1948,-0.007401,-0.031116,0,19.894
32,60.0,614.9666,-16.7253,-179.1174,0.037486,-0.119925,0,19.991
33,60.0,613.1765,-16.7771,-178.3137,0.009183,-0.088404,0,20.063
34,62.0,611.3824,-16.8464,-177.7065,-0.024332,-0.037086,0,20.085
35,64.0,609.5894,-16.9041,-178.2257,-0.018806,0.007508,0,20.041
36,66.0,607.8006,-16.9405,-178.954,-0.015089,0.030802,0,19.987
37,68.0,606.0151,-16.9583,-179.5488,-0.000707,0.035494,0,19.962
38,70.0,604.23,-16.9682,-179.7302,0.007829,0.032331,0,19.976
39,72.0,602.4425,-16.9819,-179.542,8.4e-05,0.032986,0,20.009
40,74.0,600.6523,-16.9984,-179.4616,0.00161,0.036399,0,20.031
41,76.0,598.8613,-17.0164,-179.4145,-0.004416,0.041261,0,20.028
42,76.0,597.0716,-17.0322,-179.5132,0.001681,0.043929,0,20.008
43,78.0,595.2838,-17.0474,-179.5131,0.000515,0.046079,0,19.989
44,80.0,593.4969,-17.0635,-179.485,0.000682,0.049062,0,19.985
45,82.0,591.7098,-17.0802,-179.4612,-0.004539,0.052707,0,19.995
46,84.0,589.9214,-17.0942,-179.5725,-0.002153,0.053602,0,20.007
47,86.0,588.1323,-17.105,-179.6744,0.002028,0.051278,0,20.013
48,88.0,586.3431,-17.116,-179.6456,-0.000917,0.049259,0,20.009
49,90.0,584.5546,-17.1271,-179.6504,0.002845,0.047226,0,20.0
50,92.0,582.7668,-17.1398,-179.5843,0.000627,0.046802,0,19.994
51,92.0,580.9794,-17.154,-179.5396,0.003752,0.04792,0,19.995
52,94.0,579.1915,-17.1711,-179.4338,-0.002017,0.05196,0,20.0
53,96.0,577.4034,-17.1884,-179.448,-0.074997,0.056213,0,20.004
54,98.0,575.6177,-17.1584,178.7031,0.046937,0.013117,0,19.965
55,100.0,573.8344,-17.1264,179.0561,0.066907,-0.03191,0,19.951
56,102.0,572.0505,-17.1539,-178.8098,-0.017978,-0.017466,0,19.974
57,104.0,570.2631,-17.1971,-178.5612,-0.014474,0.012624,0,20.017
58,106.0,568.4721,-17.2272,-179.0811,-0.036952,0.029648,0,20.046
59,108.0,566.6805,-17.2274,179.8081,0.020755,0.016699,0,20.032
60,110.0,564.8911,-17.226,179.966,0.016378,0.00219,0,20.0
61,110.0,563.1041,-17.2417,-179.4198,0.001171,0.004778,0,19.983
62,112.0,561.3175,-17.2648,-179.2141,-0.007097,0.014874,0,19.988
63,114.0,559.5298,-17.2848,-179.3779,-0.00141,0.021748,0,20.004
64,116.0,557.7407,-17.3014,-179.4853,0.001904,0.025293,0,20.017
65,118.0,555.9509,-17.3186,-179.4536,0.002032,0.029296,0,20.017
66,120.0,554.1617,-17.3376,-179.3822,-0.010005,0.035229,0,20.007
67,122.0,552.3736,-17.3507,-179.6213,0.000538,0.035233,0,19.996
68,124.0,550.5861,-17.3603,-179.7072,0.009881,0.03028,0,19.992
69,126.0,548.7986,-17.3764,-179.4496,-0.002067,0.036057,0,19.997
70,126.0,547.0105,-17.3948,-179.4039,-0.015118,0.050528,0,20.004
71,128.0,545.2217,-17.4027,-179.8131,-0.004095,0.054468,0,20.006
72,130.0,543.433,-17.4019,179.9266,0.006261,0.049762,0,20.005
73,132.0,541.6445,-17.403,-179.9598,0.008068,0.046898,0,20.002
74,134.0,539.8564,-17.4114,-179.6888,-0.010551,0.051463,0,19.998
75,136.0,538.0683,-17.4162,-179.8789,-0.01042,0.052286,0,19.997
76,138.0,536.2802,-17.4102,179.7476,0.011582,0.042392,0,19.999
77,140.0,534.492,-17.4075,179.9385,0.011509,0.035833,0,20.001
78,142.0,532.7039,-17.4165,-179.6506,-0.006951,0.040952,0,20.003
79,144.0,530.9158,-17.4258,-179.7097,-0.011211,0.046272,0,20.002
80,144.0,529.1276,-17.4254,179.9344,0.00651,0.042025,0,20.0
81,146.0,527.3395,-17.425,179.9877,0.006874,0.03765,0,19.999
82,148.0,525.5514,-17.4311,-179.7734,-0.006079,0.039855,0,20.0
83,150.0,523.7632,-17.4359,-179.8594,0.001256,0.040758,0,20.0
84,152.0,521.9752,-17.4396,-179.8841,0.008129,0.04053,0,20.001
85,154.0,520.187,-17.4491,-179.6624,-0.00032,0.046156,0,20.001
86,156.0,518.3989,-17.4616,-179.5881,-0.008396,0.054758,0,20.001
87,158.0,516.6108,-17.4687,-179.8058,0.001254,0.057974,0,20.0
88,160.0,514.8226,-17.4735,-179.8578,-0.007115,0.058846,0,20.0
89,160.0,513.0345,-17.4736,179.9647,0.006504,0.055013,0,20.0
90,162.0,511.2464,-17.4751,-179.9372,-0.012517,0.052639,0,20.0
91,164.0,509.4583,-17.4704,179.7987,-0.041676,0.044047,0,19.999
92,166.0,507.6713,-17.433,178.5999,-0.027119,0.002795,0,19.989
93,168.0,505.8854,-17.3606,177.4731,-0.019803,-0.073586,0,19.995
94,170.0,504.1,-17.2617,176.6628,0.086664,-0.176318,0,20.004
95,172.0,502.316,-17.2073,178.5684,-0.049807,-0.234684,0,19.949
96,174.0,500.5346,-17.1569,178.2798,0.013131,-0.288933,0,19.938
97,176.0,498.7506,-17.0991,178.1793,0.004994,-0.350648,0,19.992
98,176.0,496.961,-17.0491,178.4189,0.063125,-0.404503,0,20.049
99,178.0,495.1693,-17.0415,-179.9512,-0.046153,-0.416074,0,20.036
100,180.0,493.3806,-17.0314,179.5813,-0.095258,-0.430057,0,19.99
101,182.0,491.5991,-16.9447,176.772,0.081836,-0.520596,0,19.937
102,184.0,489.8215,-16.8639,177.5745,0.066638,-0.605366,0,19.901
103,186.0,488.0391,-16.854,-179.985,-0.069645,-0.619069,0,19.983
104,188.0,486.251,-16.8322,179.1381,0.019654,-0.644808,0,20.026
105,190.0,484.4588,-16.799,178.9689,0.064926,-0.681965,0,20.066
