step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.086411,-0.018281,0,19.627
1,10.0,656.2367,13.7869,-111.9876,-0.066553,-0.042334,0,18.72
2,12.0,655.5707,12.2959,-114.3843,-0.077311,-0.124232,0,17.95
3,14.0,654.8581,10.8709,-116.8221,-0.078561,-0.250235,0,17.87
4,16.0,654.0625,9.4478,-119.3937,-0.035626,-0.404369,0,18.694
5,16.0,653.1787,7.969,-121.0104,-0.047332,-0.486705,0,19.722
6,18.0,652.2216,6.4577,-122.6177,-0.042123,-0.599571,0,20.13
7,20.0,651.2225,4.9708,-124.2043,-0.074289,-0.694784,0,19.877
8,22.0,650.19,3.5542,-126.5174,-0.044324,-0.79222,0,19.384
9,24.0,649.1313,2.2014,-128.3676,-0.077108,-0.887204,0,19.127
10,24.0,648.0222,0.8968,-130.7376,-0.067029,-0.917502,0,19.258
11,26.0,646.839,-0.38,-133.1741,-0.071059,-1.012094,0,19.687
12,28.0,645.576,-1.6316,-135.6779,-0.059926,-1.118611,0,20.031
13,30.0,644.2514,-2.844,-137.9646,-0.07698,-1.229211,0,20.088
14,32.0,642.8807,-3.9917,-140.5729,-0.061201,-1.350756,0,19.904
15,32.0,641.477,-5.0698,-142.9301,-0.062955,-1.409122,0,19.719
16,34.0,640.0404,-6.085,-145.1709,-0.076881,-1.52175,0,19.673
17,36.0,638.5572,-7.0368,-147.7657,-0.068707,-1.647739,0,19.778
18,38.0,637.0213,-7.9287,-150.304,-0.065812,-1.786091,0,19.95
19,40.0,635.4379,-8.7614,-152.7151,-0.044998,-1.931385,0,20.049
20,40.0,633.8237,-9.5417,-154.5741,-0.037162,-2.006084,0,20.04
21,42.0,632.1938,-10.2769,-156.0254,-0.032004,-2.102186,0,19.96
22,44.0,630.5545,-10.9728,-157.2513,-0.032633,-2.168739,0,19.892
23,46.0,628.9039,-11.6328,-158.4341,-0.02493,-2.203657,0,19.888
24,48.0,627.2392,-12.2641,-159.4229,-0.025581,-2.201386,0,19.943
25,50.0,625.559,-12.8699,-160.3546,-0.048561,-2.158864,0,20.004
26,50.0,623.8612,-13.4347,-161.8792,-0.045628,-2.026204,0,20.017
27,52.0,622.1481,-13.9504,-163.5576,-0.038041,-1.922599,0,20.0
28,54.0,620.4243,-14.4208,-165.0247,-0.040578,-1.796789,0,19.975
29,56.0,618.6911,-14.8467,-166.4792,-0.054486,-1.648561,0,19.96
30,58.0,616.9461,-15.2187,-168.3071,-0.03872,-1.488305,0,19.961
31,58.0,615.1899,-15.5418,-169.8726,-0.024484,-1.255014,0,19.988
32,60.0,613.4249,-15.8307,-170.9266,-0.045743,-1.03196,0,20.013
33,62.0,611.653,-16.0767,-172.3767,-0.041266,-0.804779,0,20.008
34,64.0,609.8757,-16.2752,-173.9155,-0.040777,-0.61934,0,19.996
35,66.0,608.0951,-16.4273,-175.4077,-0.029642,-0.480274,0,19.985
36,68.0,606.3118,-16.5404,-176.6077,-0.007858,-0.380156,0,19.988
37,70.0,604.5266,-16.6337,-177.1338,-0.007785,-0.299986,0,19.999
38,72.0,602.74,-16.7162,-177.434,-0.001556,-0.230584,0,20.007
39,74.0,600.9525,-16.7934,-177.5589,-0.024967,-0.166465,0,20.008
40,74.0,599.1652,-16.8525,-178.2272,-0.010177,-0.120421,0,19.997
41,76.0,597.3777,-16.8946,-178.7447,-0.000177,-0.091428,0,19.994
42,78.0,595.5903,-16.9312,-178.8658,0.001523,-0.067893,0,19.996
43,80.0,593.8027,-16.9678,-178.8343,-0.015318,-0.044413,0,20.0
44,82.0,592.0146,-16.9943,-179.2181,-0.007959,-0.030961,0,20.002
45,84.0,590.2266,-17.0094,-179.5795,0.005691,-0.028933,0,20.003
46,86.0,588.4384,-17.0245,-179.5197,0.00601,-0.026961,0,20.001
47,88.0,586.6503,-17.0452,-179.3102,-0.008135,-0.019356,0,19.999
48,90.0,584.8622,-17.0628,-179.4587,-0.000947,-0.014799,0,19.998
49,90.0,583.074,-17.077,-179.5622,0.011588,-0.013727,0,19.999
50,92.0,581.2859,-17.0983,-179.2741,0.00494,-0.005471,0,20.0
51,94.0,579.4977,-17.1274,-179.0289,-0.010632,0.010538,0,20.001
52,96.0,577.7097,-17.1518,-179.2497,-0.008344,0.021865,0,20.0
53,98.0,575.9216,-17.1669,-179.5716,0.005743,0.023804,0,20.0
54,100.0,574.1334,-17.1821,-179.5117,0.000398,0.025917,0,20.0
