step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.034681,-0.018281,0,19.627
1,10.0,656.3043,13.7594,-109.0926,0.023671,0.030606,0,18.754
2,12.0,655.7906,12.2061,-108.2054,0.009814,0.113245,0,17.978
3,14.0,655.3029,10.6866,-107.7426,0.033084,0.230628,0,17.886
4,16.0,654.8285,9.1266,-106.8382,0.046306,0.422587,0,18.676
5,16.0,654.369,7.4701,-105.3604,0.053011,0.798182,0,19.673
6,18.0,653.9431,5.7367,-103.5273,0.065646,1.2477,0,20.097
7,20.0,653.5802,3.9847,-101.2872,0.015908,1.813459,0,19.866
8,20.0,653.2626,2.2584,-100.1889,-0.184439,2.508206,0,19.428
9,22.0,652.8732,0.5941,-103.7568,-0.162082,3.126132,0,18.96
10,24.0,652.3315,-1.0136,-109.269,-0.139961,3.625999,0,19.124
11,24.0,651.6378,-2.6031,-114.2726,-0.216139,4.097555,0,19.695
12,26.0,650.7564,-4.1427,-120.8925,-0.070939,4.417287,0,20.004
13,28.0,649.7431,-5.6296,-125.0024,-0.027925,4.655048,0,20.175
14,30.0,648.6823,-7.0826,-126.5684,0.030247,4.887259,0,20.039
15,30.0,647.6332,-8.5203,-126.1257,-0.010842,5.246887,0,19.796
16,32.0,646.5948,-9.9445,-126.1211,-0.018134,5.606394,0,19.672
17,34.0,645.5449,-11.358,-126.6799,-0.022043,5.993531,0,19.744
18,34.0,644.47,-12.7686,-127.434,-0.086512,6.484888,0,19.925
19,36.0,643.3367,-14.1489,-129.8085,-0.131777,6.921154,0,20.019
20,38.0,642.1127,-15.4506,-133.9691,-0.168927,7.283675,0,19.977
21,38.0,640.7817,-16.6288,-139.4904,-0.188258,7.608264,0,19.857
22,40.0,639.339,-17.6513,-145.8202,-0.137632,7.746984,0,19.789
23,42.0,637.8008,-18.5336,-151.1471,-0.086474,7.760773,0,19.912
24,42.0,636.1927,-19.3159,-154.7868,-0.100378,7.77837,0,20.076
25,44.0,634.532,-20.0012,-158.2833,-0.100114,7.694854,0,20.107
26,46.0,632.8338,-20.5802,-161.8818,-0.078249,7.54556,0,20.039
27,46.0,631.1127,-21.0634,-164.9308,-0.030015,7.41834,0,19.965
28,48.0,629.3804,-21.4894,-166.5404,-0.031531,7.247354,0,19.948
29,50.0,627.6389,-21.8773,-167.7024,-0.09006,7.08374,0,19.972
30,50.0,625.8824,-22.1933,-170.2782,-0.008391,6.960777,0,19.971
31,52.0,624.1154,-22.4667,-171.4208,-0.033751,6.814297,0,20.02
32,54.0,622.3411,-22.7099,-172.4305,-0.105922,6.684947,0,20.039
