step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.010057,-0.018281,0,19.627
1,10.0,656.2774,13.768,-110.2002,-0.034214,0.002446,0,18.766
2,12.0,655.6912,12.2401,-111.1264,-0.015507,0.008395,0,17.981
3,14.0,655.1,10.7578,-111.8063,-0.048915,0.016775,0,17.88
4,16.0,654.4626,9.2584,-113.1445,-0.036179,0.037771,0,18.659
5,16.0,653.7532,7.6932,-114.502,-0.137016,0.149996,0,19.671
6,18.0,652.9314,6.1149,-118.1316,-0.095151,0.185464,0,20.014
7,20.0,652.0066,4.5899,-121.8964,-0.04047,0.16879,0,19.829
8,22.0,651.0381,3.1262,-123.9418,-0.055859,0.144057,0,19.454
9,22.0,650.0378,1.7201,-125.7899,-0.073098,0.177766,0,19.219
10,24.0,648.9838,0.3613,-128.1641,-0.068437,0.1656,0,19.317
11,26.0,647.8581,-0.9688,-130.6083,-0.053042,0.138541,0,19.669
12,28.0,646.6634,-2.2811,-132.6658,-0.09125,0.10973,0,19.982
13,30.0,645.3975,-3.546,-135.5522,-0.041659,0.060847,0,20.02
14,30.0,644.088,-4.76,-137.5615,-0.079396,0.079881,0,19.913
15,32.0,642.7402,-5.9091,-140.0358,-0.032468,0.04141,0,19.744
16,34.0,641.3632,-7.0099,-141.6693,-0.024772,0.009497,0,19.721
17,36.0,639.962,-8.0868,-142.6697,-0.066059,0.00634,0,19.822
18,36.0,638.5193,-9.1248,-144.6126,-0.102868,0.066311,0,19.935
19,38.0,637.0181,-10.0879,-147.8853,-0.022062,0.06319,0,19.973
20,40.0,635.4827,-11.0031,-149.5232,-0.088232,0.065615,0,19.999
21,42.0,633.9152,-11.8551,-151.9791,-0.045141,0.061423,0,19.929
22,44.0,632.3192,-12.6457,-154.0212,-0.048319,0.05337,0,19.92
23,44.0,630.6993,-13.387,-155.7609,-0.058196,0.116184,0,19.938
24,46.0,629.0527,-14.0729,-157.7628,-0.121163,0.143025,0,19.968
25,48.0,627.3709,-14.6618,-161.3599,-0.061268,0.130508,0,19.93
26,50.0,625.6593,-15.1646,-164.1416,-0.017279,0.090765,0,19.979
27,52.0,623.9316,-15.6278,-165.2649,-0.088783,0.072862,0,20.025
28,52.0,622.1885,-16.0246,-167.6575,-0.091988,0.119092,0,19.984
29,54.0,620.4293,-16.325,-170.8814,-0.046646,0.087053,0,19.959
30,56.0,618.6586,-16.5547,-173.0371,-0.042508,0.04761,0,19.985
31,58.0,616.8793,-16.732,-174.6528,-0.088262,0.019584,0,20.011
32,60.0,615.0948,-16.8308,-177.3334,-0.034686,-0.012952,0,19.986
33,60.0,613.3076,-16.8688,-179.1259,-0.007515,0.004776,0,20.003
34,62.0,611.5186,-16.8828,-179.7186,-0.01166,0.000269,0,20.016
35,64.0,609.7288,-16.8822,179.8793,0.021528,-0.013391,0,20.016
36,66.0,607.9399,-16.8901,-179.6853,0.021966,-0.018579,0,20.003
37,68.0,606.1523,-16.9204,-178.9048,-0.012472,-0.001324,0,19.994
38,70.0,604.3652,-16.9519,-178.9967,-0.013007,0.017008,0,19.992
39,72.0,602.5776,-16.971,-179.4486,-0.073786,0.023099,0,19.999
40,74.0,600.7917,-16.9379,178.5834,0.074685,-0.023069,0,19.973
41,74.0,599.0092,-16.9182,179.561,-0.01486,-0.055898,0,19.931
42,76.0,597.2256,-16.9153,179.9023,0.036812,-0.071809,0,19.975
43,78.0,595.4376,-16.933,-179.2571,0.002902,-0.067248,0,20.025
44,80.0,593.6456,-16.9677,-178.8176,0.009521,-0.045623,0,20.059
45,82.0,591.8529,-17.0118,-178.5197,-0.046233,-0.014663,0,20.048
46,84.0,590.0635,-17.0297,-179.6104,0.013614,-0.009886,0,19.993
47,86.0,588.2777,-17.0391,-179.7146,0.024325,-0.013537,0,19.966
48,88.0,586.4926,-17.0682,-178.9716,-0.014545,0.002477,0,19.977
49,90.0,584.7055,-17.0968,-179.1,0.02366,0.018058,0,20.005
50,92.0,582.9164,-17.137,-178.6188,-0.043835,0.045133,0,20.024
51,92.0,581.1273,-17.1571,-179.5163,0.006416,0.052157,0,20.008
52,94.0,579.3388,-17.1652,-179.7755,0.016595,0.047175,0,20.002
53,96.0,577.5507,-17.1854,-179.3019,-0.009525,0.05422,0,20.001
54,98.0,575.7625,-17.2051,-179.3808,-0.018332,0.060915,0,20.003
55,100.0,573.9739,-17.2096,-179.9447,0.016174,0.052287,0,20.006
56,102.0,572.1851,-17.2176,-179.7135,0.03402,0.047153,0,20.005
57,104.0,570.3973,-17.2537,-178.6804,-0.008626,0.070207,0,19.999
58,106.0,568.6099,-17.2979,-178.5552,-0.057089,0.101279,0,19.999
59,108.0,566.8231,-17.3035,179.9378,-0.000702,0.093794,0,19.982
60,108.0,565.0361,-17.2865,179.349,0.056758,0.063703,0,19.996
61,110.0,563.2492,-17.3041,-179.2334,-0.006671,0.068242,0,19.989
62,112.0,561.4617,-17.3383,-178.8434,-0.031988,0.089366,0,20.004
63,114.0,559.673,-17.3509,-179.7091,-0.009669,0.088929,0,20.011
64,116.0,557.8836,-17.3452,179.7158,0.043785,0.070092,0,20.017
65,118.0,556.0953,-17.3633,-179.2718,-0.012549,0.075083,0,19.997
66,120.0,554.3083,-17.389,-179.1657,-0.020089,0.087744,0,19.99
67,122.0,552.5208,-17.3981,-179.7909,0.007694,0.083714,0,19.997
68,124.0,550.7324,-17.4047,-179.7978,0.035102,0.075298,0,20.008
