step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.039379,-0.018281,0,19.627
1,10.0,656.2606,13.775,-110.9231,-0.035886,-0.015772,0,18.758
2,12.0,655.6478,12.2578,-112.1696,-0.066457,-0.038425,0,17.979
3,14.0,655.0023,10.7999,-114.0685,-0.061098,-0.089562,0,17.864
4,16.0,654.2887,9.3358,-116.1217,-0.031183,-0.152088,0,18.663
5,16.0,653.4987,7.8084,-117.4718,-0.047689,-0.128772,0,19.689
6,18.0,652.6384,6.2422,-119.038,-0.082612,-0.131309,0,20.119
7,20.0,651.7123,4.7109,-121.6433,-0.066871,-0.14313,0,19.859
8,22.0,650.7395,3.2521,-124.1758,-0.071505,-0.17088,0,19.403
9,24.0,649.7242,1.8651,-126.6439,-0.015466,-0.215543,0,19.138
10,24.0,648.6788,0.5052,-127.742,-0.078119,-0.161426,0,19.292
11,26.0,647.5717,-0.8386,-129.8374,-0.072118,-0.16112,0,19.669
12,28.0,646.3828,-2.1574,-132.4395,-0.038679,-0.176211,0,20.001
13,30.0,645.1395,-3.4513,-134.1943,-0.081545,-0.182705,0,20.081
14,30.0,643.8497,-4.6884,-136.6883,-0.124114,-0.133328,0,19.903
15,32.0,642.4988,-5.8261,-140.5989,-0.140754,-0.176043,0,19.67
16,34.0,641.0723,-6.8432,-145.3194,0.064519,-0.297804,0,19.602
17,36.0,639.6226,-7.8371,-145.5674,-0.001857,-0.390023,0,19.745
18,38.0,638.1656,-8.8553,-145.0907,-0.079715,-0.402574,0,19.999
19,38.0,636.6669,-9.8402,-147.0229,-0.084266,-0.329961,0,20.096
20,40.0,635.1208,-10.7524,-149.9679,-0.049314,-0.326199,0,20.052
21,42.0,633.5463,-11.6007,-152.1205,-0.056695,-0.326523,0,19.96
22,44.0,631.9504,-12.3892,-154.1145,-0.072354,-0.325018,0,19.881
23,46.0,630.3267,-13.1087,-156.5491,-0.096466,-0.333579,0,19.872
24,46.0,628.6655,-13.7408,-159.7368,-0.037685,-0.300432,0,19.915
25,48.0,626.974,-14.3128,-161.6936,-0.05172,-0.319052,0,20.02
26,50.0,625.2593,-14.8341,-163.4594,-0.071584,-0.327507,0,20.061
27,52.0,623.5256,-15.2861,-165.8374,-0.073896,-0.342073,0,20.022
28,54.0,621.7779,-15.6584,-168.4699,-0.001357,-0.371997,0,19.965
29,54.0,620.0262,-15.9962,-169.2811,-0.09632,-0.297846,0,19.952
30,56.0,618.2668,-16.2714,-171.5982,-0.065548,-0.273357,0,19.912
31,58.0,616.4948,-16.4648,-174.2136,-0.026558,-0.266813,0,19.972
32,60.0,614.7113,-16.6112,-175.6024,-0.020782,-0.236916,0,20.047
33,62.0,612.9213,-16.7285,-176.4495,-0.028003,-0.143725,0,20.069
34,62.0,611.1303,-16.8157,-177.4044,-0.03685,-0.069605,0,20.035
35,64.0,609.3425,-16.8651,-178.6524,-0.014789,-0.033282,0,19.982
36,66.0,607.5573,-16.888,-179.4225,0.021221,-0.023486,0,19.961
37,68.0,605.7727,-16.9168,-179.0423,-0.014797,-0.00777,0,19.971
38,70.0,603.986,-16.9424,-179.2235,-0.019827,0.004781,0,20.001
39,72.0,602.1967,-16.9494,-179.8777,-0.002223,-0.001301,0,20.025
40,74.0,600.406,-16.9467,179.8568,0.017077,-0.017133,0,20.028
41,76.0,598.6162,-16.9534,-179.7328,0.001279,-0.023554,0,20.009
42,78.0,596.8282,-16.9671,-179.5289,-0.008882,-0.022876,0,19.991
43,78.0,595.0413,-16.9762,-179.7381,0.001882,-0.026949,0,19.985
44,80.0,593.2543,-16.9833,-179.7773,-0.004128,-0.032869,0,19.993
45,82.0,591.4662,-16.9881,-179.8708,0.006512,-0.041197,0,20.005
46,84.0,589.6772,-16.9955,-179.7419,-0.00168,-0.046845,0,20.011
47,86.0,587.8881,-17.0042,-179.7221,0.014593,-0.051236,0,20.009
48,88.0,586.0997,-17.0224,-179.3559,0.003498,-0.046204,0,19.999
49,90.0,584.3121,-17.0487,-179.1179,-0.008318,-0.032974,0,19.994
50,92.0,582.5247,-17.0715,-179.2915,0.002634,-0.023264,0,19.995
51,94.0,580.7369,-17.0932,-179.3043,0.012814,-0.014604,0,20.0
52,96.0,578.9487,-17.1244,-178.9482,-0.019166,0.003463,0,20.003
53,96.0,577.1606,-17.1477,-179.3157,-0.029602,0.013692,0,20.0
54,98.0,575.3727,-17.1442,179.731,0.019924,-0.002901,0,19.996
55,100.0,573.5852,-17.1417,179.9404,0.024806,-0.018479,0,19.993
56,102.0,571.7977,-17.162,-179.232,-0.007003,-0.01129,0,19.997
57,104.0,570.0098,-17.1876,-179.1553,-0.006847,0.001307,0,20.003
58,106.0,568.2211,-17.2075,-179.3906,-0.012341,0.008017,0,20.007
59,108.0,566.4324,-17.2164,-179.7844,-0.004396,0.003878,0,20.006
60,110.0,564.6439,-17.2171,179.9722,0.012981,-0.008544,0,20.002
61,112.0,562.8557,-17.224,-179.7413,-0.014144,-0.014724,0,19.997
62,112.0,561.0682,-17.226,-179.9812,-0.021805,-0.025784,0,19.994
63,114.0,559.2807,-17.2083,179.3166,0.044792,-0.056622,0,19.996
64,116.0,557.494,-17.2112,-179.7586,0.009553,-0.066713,0,19.983
65,118.0,555.707,-17.237,-179.0744,0.001943,-0.054065,0,19.996
66,120.0,553.9188,-17.2695,-178.9038,-0.02494,-0.034592,0,20.011
67,122.0,552.1296,-17.2874,-179.5248,-0.017852,-0.02983,0,20.011
68,124.0,550.3406,-17.2838,179.7611,0.024084,-0.047415,0,20.007
69,126.0,548.5527,-17.2881,-179.8082,-0.003817,-0.052819,0,19.994
70,128.0,546.7651,-17.298,-179.6761,-0.026448,-0.046943,0,19.993
71,128.0,544.9777,-17.2893,179.6118,0.020182,-0.059532,0,19.994
72,130.0,543.19,-17.2839,179.8685,0.026186,-0.068772,0,19.998
73,132.0,541.4019,-17.3029,-179.2633,-0.011971,-0.053708,0,20.004
74,134.0,539.6133,-17.3246,-179.3014,-0.006749,-0.035902,0,20.006
75,136.0,537.8246,-17.3386,-179.5835,-0.017124,-0.025793,0,20.006
76,138.0,536.0361,-17.3384,179.897,-0.005248,-0.029932,0,20.002
77,140.0,534.2479,-17.3273,179.5833,0.006895,-0.044909,0,20.0
78,142.0,532.4598,-17.3178,179.7004,-0.006725,-0.058328,0,19.999
79,144.0,530.6717,-17.3058,179.5912,0.003226,-0.074193,0,20.0
80,146.0,528.8835,-17.2936,179.611,0.024191,-0.090371,0,20.002
81,146.0,527.0954,-17.2986,-179.7321,0.002546,-0.08921,0,19.999
82,148.0,525.3073,-17.315,-179.4205,-0.029095,-0.076702,0,20.0
83,150.0,523.5195,-17.3142,179.8648,0.013442,-0.081471,0,19.995
84,152.0,521.732,-17.3115,179.9244,0.01875,-0.08805,0,19.996
85,154.0,519.944,-17.3255,-179.4682,-0.01492,-0.077961,0,20.001
86,156.0,518.1559,-17.337,-179.661,-0.014979,-0.070409,0,20.003
87,158.0,516.3672,-17.3335,179.8091,-0.008747,-0.077777,0,20.004
88,160.0,514.5786,-17.3178,179.4223,0.021303,-0.097332,0,20.004
89,162.0,512.7905,-17.3121,179.8782,0.020695,-0.107016,0,19.998
90,162.0,511.0028,-17.3279,-179.3749,-0.014131,-0.095104,0,19.997
91,164.0,509.2152,-17.3432,-179.5227,-0.012821,-0.083698,0,19.997
92,166.0,507.4271,-17.3457,-179.9871,0.003732,-0.08513,0,20.001
