step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.003705,-0.018281,0,19.627
1,10.0,656.2811,13.7666,-110.042,-0.033359,0.006418,0,18.766
2,12.0,655.7009,12.2364,-110.8862,-0.0266,0.018764,0,17.98
3,14.0,655.1099,10.7543,-111.8174,-0.050511,0.027289,0,17.878
4,16.0,654.4689,9.2564,-113.2866,-0.072349,0.044248,0,18.661
5,16.0,653.7338,7.7043,-115.571,-0.083108,0.127645,0,19.656
6,18.0,652.897,6.1296,-118.4167,-0.079377,0.148468,0,20.084
7,20.0,651.9821,4.5925,-121.3105,-0.048,0.146974,0,19.869
8,22.0,651.0272,3.1188,-123.3671,-0.048975,0.139681,0,19.441
9,22.0,650.0446,1.7036,-125.1072,-0.073791,0.192999,0,19.177
10,24.0,649.0104,0.3349,-127.4324,-0.072672,0.202937,0,19.273
11,26.0,647.9012,-1.0054,-129.9805,-0.060546,0.195,0,19.654
12,28.0,646.7162,-2.3267,-132.2669,-0.052916,0.179277,0,19.998
13,30.0,645.4725,-3.6195,-134.2729,-0.06021,0.165638,0,20.078
14,30.0,644.1864,-4.8627,-136.3859,-0.069077,0.222054,0,19.927
15,32.0,642.8632,-6.0408,-138.7729,-0.055734,0.221201,0,19.735
16,34.0,641.5047,-7.1604,-140.9019,-0.101601,0.214657,0,19.682
17,36.0,640.0901,-8.2083,-144.0147,-0.044387,0.1785,0,19.744
18,36.0,638.6229,-9.2059,-146.1631,-0.04503,0.191309,0,19.937
19,38.0,637.1141,-10.1677,-147.8209,-0.062644,0.181052,0,20.061
20,40.0,635.5687,-11.0776,-149.912,-0.064723,0.171974,0,20.044
21,42.0,633.9936,-11.9228,-152.2245,-0.069953,0.15617,0,19.952
22,44.0,632.3914,-12.6966,-154.6889,-0.052268,0.128109,0,19.873
23,44.0,630.7641,-13.4089,-156.7557,-0.056254,0.161285,0,19.882
24,46.0,629.1094,-14.065,-158.7556,-0.088403,0.154811,0,19.945
25,48.0,627.4214,-14.6437,-161.5948,-0.048482,0.127912,0,19.983
26,50.0,625.7076,-15.1566,-163.7488,-0.056683,0.094796,0,20.028
27,52.0,623.9758,-15.6098,-165.7426,-0.051107,0.063844,0,20.017
28,52.0,622.2315,-16.0034,-167.6548,-0.069983,0.106787,0,19.986
29,54.0,620.4766,-16.3273,-169.9879,-0.064533,0.096369,0,19.949
30,56.0,618.7109,-16.5779,-172.3639,-0.075316,0.075987,0,19.953
31,58.0,616.935,-16.7497,-174.9677,-0.034104,0.040108,0,19.972
32,60.0,615.1508,-16.8651,-176.6323,-0.041218,0.021935,0,20.018
33,60.0,613.3615,-16.9345,-178.0835,-0.049932,0.07106,0,20.031
34,62.0,611.5716,-16.9508,-179.8062,0.008489,0.068738,0,20.012
35,64.0,609.7835,-16.9502,179.8907,0.015311,0.05501,0,19.99
36,66.0,607.9969,-16.9598,-179.6541,-0.002921,0.051513,0,19.982
37,68.0,606.2101,-16.9727,-179.5733,-0.004828,0.051365,0,19.99
38,70.0,604.4221,-16.982,-179.7204,-0.001658,0.047534,0,20.005
39,72.0,602.633,-16.9884,-179.8137,0.005054,0.040834,0,20.013
40,74.0,600.8436,-16.9973,-179.7012,0.007415,0.036646,0,20.01
41,74.0,599.0551,-17.013,-179.4577,-0.008942,0.039303,0,20.001
42,76.0,597.2673,-17.0259,-179.613,3.2e-05,0.039072,0,19.993
43,78.0,595.4799,-17.0357,-179.6983,0.005888,0.035777,0,19.993
44,80.0,593.6922,-17.0492,-179.5488,0.000633,0.036204,0,19.999
45,82.0,591.904,-17.0653,-179.4731,-0.00432,0.039245,0,20.004
46,84.0,590.1152,-17.079,-179.5762,-0.004669,0.039882,0,20.006
47,86.0,588.3265,-17.088,-179.7414,0.008484,0.035781,0,20.003
48,88.0,586.5385,-17.1007,-179.5698,-0.001031,0.035375,0,19.998
49,90.0,584.7505,-17.1158,-179.5136,-0.004089,0.037325,0,19.997
50,92.0,582.9626,-17.1279,-179.6264,-0.002291,0.036411,0,19.998
51,92.0,581.1745,-17.137,-179.728,0.013773,0.032423,0,20.001
52,94.0,579.3864,-17.1543,-179.3948,0.000482,0.036619,0,20.001
53,96.0,577.5982,-17.1772,-179.2446,-0.008033,0.046411,0,20.001
54,98.0,575.8101,-17.1955,-179.4418,-0.006692,0.051588,0,20.0
55,100.0,574.022,-17.2063,-179.6968,0.011134,0.049343,0,20.0
56,102.0,572.2338,-17.2217,-179.4788,-0.001885,0.051605,0,19.999
57,104.0,570.4457,-17.2397,-179.4196,-0.00205,0.056526,0,19.999
58,106.0,568.6576,-17.2559,-179.4864,-0.013911,0.059693,0,20.001
59,108.0,566.8695,-17.2621,-179.87,-0.000888,0.052768,0,20.0
60,108.0,565.0814,-17.262,179.9652,0.013463,0.039608,0,20.001
61,110.0,563.2932,-17.27,-179.701,0.00395,0.034446,0,19.999
62,112.0,561.5051,-17.2856,-179.4629,-0.00763,0.036966,0,20.0
63,114.0,559.717,-17.2982,-179.6146,-0.004285,0.036508,0,20.0
64,116.0,557.9288,-17.3054,-179.801,0.010157,0.030576,0,20.001
65,118.0,556.1407,-17.3174,-179.5837,0.007301,0.029545,0,20.0
66,120.0,554.3526,-17.3381,-179.2932,-0.005529,0.037137,0,20.0
67,122.0,552.5645,-17.3583,-179.3582,-0.010978,0.044251,0,20.0
68,124.0,550.7764,-17.3695,-179.6959,0.009431,0.040334,0,20.0
69,124.0,548.9882,-17.3826,-179.5638,0.002147,0.04516,0,19.999
70,126.0,547.2001,-17.4003,-179.4185,-0.013891,0.056367,0,20.0
71,128.0,545.412,-17.4096,-179.7537,-0.00732,0.061798,0,19.999
72,130.0,543.6238,-17.4088,179.9166,0.012207,0.057062,0,20.0
73,132.0,541.8358,-17.4127,-179.8469,-0.004342,0.057041,0,20.0
74,134.0,540.0476,-17.4179,-179.8416,-0.00796,0.058291,0,20.0
75,136.0,538.2595,-17.4163,179.9132,0.000343,0.052837,0,20.0
76,138.0,536.4714,-17.4118,179.8398,0.01606,0.044461,0,20.001
77,140.0,534.6832,-17.4179,-179.7434,-0.009811,0.046598,0,19.999
78,142.0,532.8951,-17.4235,-179.8371,-0.010073,0.04833,0,19.998
79,142.0,531.107,-17.4192,179.8099,0.000407,0.040126,0,19.999
80,144.0,529.3188,-17.411,179.714,0.008863,0.028035,0,20.002
81,146.0,527.5307,-17.4083,179.9434,0.013422,0.021451,0,20.002
82,148.0,525.7426,-17.418,-179.6176,-0.009517,0.027239,0,20.001
83,150.0,523.9545,-17.427,-179.7253,-0.006886,0.032344,0,19.998
84,152.0,522.1664,-17.4285,-179.9935,0.000507,0.029852,0,19.999
85,154.0,520.3782,-17.4273,179.9454,0.011645,0.024801,0,20.001
86,156.0,518.5901,-17.4337,-179.7501,0.001224,0.027321,0,20.001
87,158.0,516.802,-17.4455,-179.6005,-0.011851,0.03516,0,20.001
88,158.0,515.0139,-17.4503,-179.8905,-0.003399,0.036041,0,20.0
89,160.0,513.2257,-17.4483,179.9021,0.002905,0.03021,0,20.0
90,162.0,511.4376,-17.4465,179.9372,0.003674,0.024469,0,20.0
91,164.0,509.6495,-17.4479,-179.9397,0.002626,0.021968,0,20.001
92,166.0,507.8614,-17.4526,-179.8324,-0.007597,0.022747,0,20.001
93,168.0,506.0732,-17.4534,179.9981,0.009016,0.019664,0,20.0
94,170.0,504.2851,-17.4575,-179.8421,0.008669,0.019859,0,19.999
95,172.0,502.497,-17.4707,-179.5289,-0.005612,0.029195,0,19.999
96,174.0,500.7089,-17.4839,-179.5831,-0.013825,0.038483,0,20.0
97,176.0,498.9207,-17.4862,-179.9948,-0.002382,0.036797,0,20.0
98,176.0,497.1326,-17.4812,179.8006,0.009285,0.027932,0,20.001
