step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.033865,-0.018281,0,19.627
1,10.0,656.2637,13.7736,-110.7882,-0.073831,-0.012316,0,18.76
2,12.0,655.6359,12.2643,-112.8573,-0.045162,-0.051898,0,17.957
3,14.0,654.9769,10.813,-114.5895,-0.040661,-0.118095,0,17.868
4,16.0,654.2654,9.3463,-115.9915,-0.035422,-0.177617,0,18.682
5,16.0,653.4804,7.8149,-117.2711,-0.023882,-0.147968,0,19.699
6,18.0,652.6384,6.2377,-118.2528,-0.043179,-0.12901,0,20.125
7,20.0,651.76,4.6766,-119.6291,-0.022736,-0.084455,0,19.878
8,22.0,650.8705,3.1636,-120.6593,-0.088066,-0.012953,0,19.416
9,22.0,649.945,1.7172,-123.0102,-0.115568,0.104913,0,19.1
10,24.0,648.9371,0.3386,-126.6699,-0.060493,0.143869,0,19.203
11,26.0,647.845,-1.0136,-129.2997,-0.081463,0.158888,0,19.678
12,28.0,646.6654,-2.3445,-132.0204,-0.084086,0.155963,0,20.05
13,30.0,645.4064,-3.6272,-135.0175,-0.052344,0.126931,0,20.104
14,30.0,644.1013,-4.8531,-137.2524,-0.068387,0.157674,0,19.937
15,32.0,642.7625,-6.0128,-139.5627,-0.054747,0.135604,0,19.72
16,34.0,641.3906,-7.1131,-141.6558,-0.043029,0.108674,0,19.662
17,36.0,639.9828,-8.1733,-143.3272,-0.031234,0.089718,0,19.781
18,38.0,638.5385,-9.2092,-144.5866,-0.052444,0.092841,0,19.963
19,38.0,637.0554,-10.2111,-146.276,-0.053096,0.187979,0,20.052
20,40.0,635.5384,-11.1652,-148.189,-0.132602,0.234857,0,20.026
21,42.0,633.9772,-12.0218,-151.9589,-0.082328,0.238648,0,19.856
22,44.0,632.3734,-12.7783,-155.3586,-0.061215,0.196656,0,19.84
23,44.0,630.7341,-13.4636,-157.8016,-0.07833,0.200281,0,19.918
24,46.0,629.0581,-14.0753,-160.4552,-0.079283,0.147153,0,19.996
25,48.0,627.349,-14.6056,-163.2946,-0.059787,0.070374,0,20.034
26,50.0,625.6173,-15.0633,-165.6647,-0.060326,-0.017787,0,20.029
27,52.0,623.8719,-15.4529,-167.8578,-0.159247,-0.110421,0,19.986
28,52.0,622.1149,-15.7182,-172.2534,-0.061969,-0.195825,0,19.832
29,54.0,620.346,-15.8766,-175.4416,-0.028551,-0.368723,0,19.912
30,56.0,618.5629,-15.9845,-176.8784,-0.045302,-0.52927,0,20.038
31,58.0,616.769,-16.0451,-178.3766,-0.016811,-0.672013,0,20.097
32,60.0,614.9727,-16.0733,-179.2893,-0.013399,-0.771803,0,20.079
33,60.0,613.1806,-16.0826,-179.8355,-0.043876,-0.782847,0,20.009
34,62.0,611.3956,-16.0553,178.8882,-0.053552,-0.828047,0,19.941
35,64.0,609.6159,-15.9741,177.0678,-0.087239,-0.922239,0,19.93
36,66.0,607.8417,-15.8124,174.2937,-0.096183,-1.097007,0,19.947
37,68.0,606.0764,-15.5505,170.9602,-0.043052,-1.371829,0,19.99
38,70.0,604.3171,-15.2172,168.853,-0.027474,-1.717937,0,20.054
39,72.0,602.5628,-14.8421,167.6524,0.069375,-2.105855,0,20.066
40,74.0,600.8067,-14.496,169.0638,0.096381,-2.464817,0,19.99
41,74.0,599.0427,-14.2378,172.1754,0.075248,-2.735974,0,19.927
42,76.0,597.2689,-14.0686,175.0795,-0.005332,-2.918147,0,19.95
43,78.0,595.4875,-13.931,175.7572,0.031367,-3.06879,0,20.015
44,80.0,593.6996,-13.8175,176.5614,0.01358,-3.195312,0,20.054
45,82.0,591.9086,-13.7272,177.2318,0.026928,-3.298795,0,20.055
46,84.0,590.1183,-13.6621,178.0857,0.014165,-3.376923,0,20.019
47,86.0,588.3308,-13.6188,178.7345,0.000348,-3.43333,0,19.985
48,88.0,586.545,-13.5831,178.902,0.003234,-3.482077,0,19.976
49,90.0,584.7588,-13.5511,178.9987,0.015206,-3.527187,0,19.991
50,90.0,582.9705,-13.531,179.4281,0.024383,-3.560389,0,20.012
51,92.0,581.1808,-13.5335,-179.7832,-0.008147,-3.570929,0,20.02
52,94.0,579.3911,-13.5411,-179.7414,-0.008256,-3.576478,0,20.014
53,96.0,577.6022,-13.5414,179.9746,0.003165,-3.589308,0,20.002
54,98.0,575.8143,-13.5406,179.9702,0.020201,-3.603131,0,19.994
55,100.0,574.0268,-13.5543,-179.4778,-0.001313,-3.602585,0,19.992
56,102.0,572.2392,-13.575,-179.3072,-0.011429,-3.594958,0,19.999
57,104.0,570.4509,-13.5885,-179.6073,-0.005615,-3.594544,0,20.006
58,106.0,568.6621,-13.594,-179.8694,0.008128,-3.602119,0,20.009
59,108.0,566.8734,-13.6022,-179.7204,-0.001033,-3.606963,0,20.005
60,108.0,565.085,-13.6125,-179.6687,-0.005013,-3.609782,0,20.0
61,110.0,563.2969,-13.6192,-179.8058,0.000559,-3.616156,0,19.997
62,112.0,561.5088,-13.6244,-179.8422,0.013515,-3.62405,0,19.998
63,114.0,559.7206,-13.6387,-179.4874,0.004903,-3.622849,0,20.0
64,116.0,557.9325,-13.6616,-179.2228,-0.016488,-3.613033,0,20.003
65,118.0,556.1444,-13.676,-179.5948,-0.005409,-3.611717,0,20.001
66,120.0,554.3563,-13.6807,-179.8991,0.013552,-3.620086,0,20.001
67,122.0,552.5682,-13.6918,-179.6098,0.001467,-3.622174,0,19.999
68,124.0,550.78,-13.7086,-179.4382,-0.012717,-3.620505,0,20.0
69,124.0,548.9919,-13.718,-179.7474,-0.007651,-3.619434,0,20.0
70,126.0,547.2038,-13.7174,179.9258,0.02063,-3.626491,0,20.001
71,128.0,545.4156,-13.7271,-179.6226,0.011709,-3.620717,0,19.998
72,130.0,543.6279,-13.7523,-179.1144,-0.006417,-3.599445,0,20.0
73,132.0,541.8398,-13.7786,-179.1526,-0.00746,-3.57704,0,20.001
74,134.0,540.0517,-13.7983,-179.405,0.00675,-3.561254,0,20.002
75,136.0,538.2635,-13.8196,-179.3074,-0.001158,-3.543892,0,20.002
76,138.0,536.4754,-13.8423,-179.2737,-0.012313,-3.52508,0,20.001
77,140.0,534.6873,-13.8564,-179.6027,-0.020814,-3.514883,0,19.999
78,142.0,532.8992,-13.8516,179.7316,0.003842,-3.523539,0,19.997
79,142.0,531.1111,-13.8406,179.6156,0.011295,-3.538464,0,19.999
80,144.0,529.3229,-13.8375,179.937,0.016488,-3.54551,0,20.001
81,146.0,527.5349,-13.8496,-179.5185,0.005123,-3.537222,0,20.002
82,148.0,525.7466,-13.8724,-179.2122,0.011229,-3.518354,0,20.002
83,150.0,523.9587,-13.9059,-178.8583,-0.001081,-3.488805,0,20.001
84,152.0,522.1711,-13.9437,-178.7697,-0.003835,-3.4549,0,20.0
85,154.0,520.3836,-13.9792,-178.8744,-0.03672,-3.423298,0,20.0
86,156.0,518.5961,-13.9888,-179.8625,-0.040448,-3.41763,0,19.991
87,158.0,516.8094,-13.9566,178.7227,-0.023303,-3.453686,0,19.99
88,158.0,515.0229,-13.8909,177.6928,-0.000512,-3.523242,0,20.001
89,160.0,513.2359,-13.813,177.4218,0.029185,-3.605135,0,20.01
90,162.0,511.4482,-13.7523,178.1585,0.05285,-3.669737,0,20.004
91,164.0,509.6609,-13.7377,179.8099,0.021205,-3.688192,0,19.987
92,166.0,507.874,-13.7595,-179.0961,-0.014571,-3.67028,0,19.993
93,168.0,506.0863,-13.7831,-179.232,-0.012538,-3.650614,0,20.001
94,170.0,504.2978,-13.7946,-179.6922,-0.012432,-3.642987,0,20.009
95,172.0,502.5086,-13.7927,179.8501,0.003666,-3.648847,0,20.01
96,174.0,500.7198,-13.7874,179.8129,-0.003528,-3.658008,0,20.005
97,176.0,498.9316,-13.7803,179.7505,-0.007175,-3.669004,0,19.999
98,176.0,497.1438,-13.7669,179.5292,0.012026,-3.686378,0,19.996
99,178.0,495.3562,-13.7585,179.768,0.028538,-3.698632,0,19.997
100,180.0,493.5687,-13.7737,-179.375,-0.0107,-3.687358,0,19.997
101,182.0,491.7809,-13.7934,-179.3604,-0.015069,-3.671586,0,20.0
102,184.0,489.9927,-13.8002,-179.8448,-0.001784,-3.668602,0,20.003
103,186.0,488.204,-13.8,179.9517,0.012574,-3.67272,0,20.006
104,188.0,486.4154,-13.8067,-179.7474,-0.007608,-3.669932,0,20.003
105,190.0,484.6273,-13.8128,-179.8203,-0.012065,-3.66771,0,19.999
106,192.0,482.8391,-13.8083,179.7952,-0.006805,-3.676126,0,19.998
107,192.0,481.051,-13.7943,179.4921,0.01867,-3.694069,0,19.999
108,194.0,479.2629,-13.7894,179.9016,0.008997,-3.70286,0,19.999
