step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.00494,-0.018281,0,19.627
1,10.0,656.2805,13.7669,-110.0728,-0.105452,0.005697,0,18.766
2,12.0,655.6672,12.2541,-112.4028,-0.050108,-0.019065,0,17.918
3,14.0,655.0118,10.8044,-114.4902,0.001053,-0.082822,0,17.843
4,16.0,654.3262,9.326,-114.9198,-0.047182,-0.114366,0,18.695
5,16.0,653.5718,7.7774,-116.1386,-0.053696,-0.049658,0,19.722
6,18.0,652.7397,6.1935,-117.989,-0.082058,-0.019292,0,20.134
7,20.0,651.8406,4.6456,-120.6482,-0.052493,-0.00022,0,19.857
8,22.0,650.9011,3.1653,-122.8237,-0.096779,0.010644,0,19.398
9,22.0,649.9108,1.7634,-125.7398,-0.027773,0.049922,0,19.103
10,24.0,648.8774,0.3975,-127.3654,-0.107051,0.060359,0,19.277
11,26.0,647.7647,-0.9396,-130.242,-0.062263,0.049699,0,19.657
12,28.0,646.5651,-2.2503,-132.8654,-0.065775,0.018431,0,20.029
13,30.0,645.3001,-3.5255,-135.2325,-0.05095,-0.019822,0,20.1
14,30.0,643.9941,-4.7504,-137.2426,-0.060111,0.009676,0,19.941
15,32.0,642.6583,-5.9152,-139.3229,-0.07659,-0.005895,0,19.736
16,34.0,641.2834,-7.012,-141.8774,-0.054726,-0.036393,0,19.656
17,36.0,639.8644,-8.0557,-144.0466,-0.044929,-0.073829,0,19.772
18,38.0,638.4011,-9.0631,-145.7786,-0.112586,-0.103128,0,19.957
19,38.0,636.8794,-9.9981,-149.036,-0.062089,-0.085225,0,20.002
20,40.0,635.3104,-10.8586,-151.7585,-0.056762,-0.143089,0,20.017
21,42.0,633.7115,-11.6575,-153.8988,-0.000601,-0.20441,0,19.968
22,44.0,632.1039,-12.4292,-154.519,-0.055633,-0.229121,0,19.926
23,44.0,630.4829,-13.163,-155.9411,-0.059758,-0.173778,0,19.898
24,46.0,628.8365,-13.8392,-158.0234,-0.054956,-0.149955,0,19.929
25,48.0,627.1633,-14.4588,-160.0577,-0.062581,-0.12419,0,19.985
26,50.0,625.4644,-15.0164,-162.2463,-0.056459,-0.100587,0,20.015
27,52.0,623.7447,-15.5112,-164.3548,-0.066922,-0.078279,0,20.013
28,52.0,622.0086,-15.9368,-166.67,-0.084689,-0.002356,0,19.981
29,54.0,620.2575,-16.2775,-169.5247,-0.063246,0.014586,0,19.944
30,56.0,618.4935,-16.5397,-172.019,-0.137325,0.016256,0,19.961
31,58.0,616.7194,-16.6861,-176.0439,-0.062524,-0.034344,0,19.91
32,60.0,614.9363,-16.7338,-179.0148,0.031318,-0.111803,0,19.991
33,60.0,613.1467,-16.7688,-178.9466,0.021749,-0.097057,0,20.045
34,62.0,611.3542,-16.8253,-178.1059,-0.003489,-0.058388,0,20.063
35,64.0,609.5625,-16.8879,-177.9625,-0.023832,-0.008895,0,20.035
36,66.0,607.7742,-16.9345,-178.6034,-0.024447,0.024585,0,19.989
37,68.0,605.9885,-16.9555,-179.4781,-0.002758,0.032503,0,19.966
38,70.0,604.203,-16.9638,-179.8086,0.009008,0.027723,0,19.979
39,72.0,602.4155,-16.9754,-179.6156,0.001273,0.026252,0,20.006
40,74.0,600.6259,-16.9907,-179.4937,0.004914,0.028517,0,20.026
41,76.0,598.8354,-17.0103,-179.3476,-0.004682,0.034928,0,20.023
