step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.089075,-0.018281,0,19.627
1,10.0,656.2353,13.7876,-112.0447,-0.068087,-0.043895,0,18.718
2,12.0,655.5667,12.2981,-114.5008,-0.076204,-0.128852,0,17.948
3,14.0,654.8514,10.8744,-116.9277,-0.07889,-0.257803,0,17.872
4,16.0,654.0531,9.4525,-119.499,-0.0349,-0.414903,0,18.697
5,16.0,653.1667,7.975,-121.0999,-0.046108,-0.500074,0,19.724
6,18.0,652.2079,6.4646,-122.6689,-0.044981,-0.614871,0,20.13
7,20.0,651.2062,4.9795,-124.3157,-0.069495,-0.713197,0,19.875
8,22.0,650.1728,3.5635,-126.5396,-0.050087,-0.811594,0,19.387
9,24.0,649.1116,2.2126,-128.4877,-0.078671,-0.909595,0,19.127
10,24.0,647.9979,0.9119,-130.9473,-0.066558,-0.945912,0,19.258
11,26.0,646.8098,-0.3605,-133.3886,-0.065496,-1.046854,0,19.687
12,28.0,645.5446,-1.6102,-135.7486,-0.063979,-1.155946,0,20.034
13,30.0,644.2176,-2.8201,-138.0841,-0.077641,-1.269666,0,20.086
14,32.0,642.8437,-3.9636,-140.7459,-0.060359,-1.395933,0,19.901
15,32.0,641.4371,-5.0377,-143.0904,-0.06348,-1.459256,0,19.719
16,34.0,639.9976,-6.0488,-145.3365,-0.072556,-1.576339,0,19.673
17,36.0,638.5128,-6.9987,-147.829,-0.071009,-1.704095,0,19.782
18,38.0,636.9755,-7.8886,-150.3844,-0.066268,-1.844038,0,19.949
19,40.0,635.3908,-8.7182,-152.8271,-0.035951,-1.991698,0,20.047
20,40.0,633.7777,-9.5007,-154.4597,-0.040187,-2.063957,0,20.04
21,42.0,632.1494,-10.2394,-155.8984,-0.033694,-2.155154,0,19.958
22,44.0,630.5109,-10.937,-157.1924,-0.031489,-2.218488,0,19.891
23,46.0,628.8611,-11.599,-158.364,-0.023623,-2.249886,0,19.889
24,48.0,627.1976,-12.2335,-159.3088,-0.023113,-2.242771,0,19.944
25,50.0,625.5191,-12.8446,-160.1635,-0.049632,-2.193179,0,20.005
26,50.0,623.8232,-13.415,-161.6898,-0.044749,-2.054629,0,20.016
27,52.0,622.1122,-13.9365,-163.3549,-0.039179,-1.943234,0,19.999
28,54.0,620.39,-14.4125,-164.8428,-0.044156,-1.810064,0,19.973
29,56.0,618.6576,-14.8413,-166.3992,-0.056756,-1.657278,0,19.959
30,58.0,616.9127,-15.2134,-168.3203,-0.041402,-1.495322,0,19.961
31,58.0,615.1559,-15.5338,-169.9784,-0.020501,-1.264744,0,19.989
32,60.0,613.3907,-15.8214,-170.9573,-0.046799,-1.041611,0,20.016
33,62.0,611.6185,-16.0668,-172.3958,-0.042548,-0.814884,0,20.008
34,64.0,609.8412,-16.2636,-173.9757,-0.043774,-0.63117,0,19.995
35,66.0,608.0604,-16.4115,-175.5573,-0.028373,-0.496295,0,19.983
36,68.0,606.2769,-16.5201,-176.755,-0.005007,-0.400749,0,19.988
37,70.0,604.4916,-16.611,-177.1958,-0.005511,-0.322896,0,20.001
38,72.0,602.7048,-16.6938,-177.4074,-0.001722,-0.253151,0,20.009
39,74.0,600.9174,-16.7724,-177.5121,-0.028007,-0.187733,0,20.008
40,74.0,599.13,-16.8308,-178.2589,-0.007541,-0.142322,0,19.995
41,76.0,597.3431,-16.8729,-178.7381,0.003679,-0.113319,0,19.992
42,78.0,595.5561,-16.9131,-178.7336,0.003658,-0.086264,0,19.995
43,80.0,593.7686,-16.9562,-178.6059,-0.019822,-0.056218,0,20.001
44,82.0,591.9806,-16.9874,-179.0824,-0.007194,-0.038128,0,20.002
45,84.0,590.1925,-17.0061,-179.4677,0.00376,-0.032535,0,20.003
46,86.0,588.4044,-17.0235,-179.453,0.006981,-0.028162,0,20.002
47,88.0,586.6162,-17.0465,-179.2374,-0.009425,-0.018319,0,20.0
48,90.0,584.8281,-17.0658,-179.4108,-0.002053,-0.012094,0,19.998
49,90.0,583.04,-17.0803,-179.5556,0.013612,-0.010608,0,19.999
50,92.0,581.2519,-17.103,-179.227,0.003998,-0.001073,0,19.999
51,94.0,579.4638,-17.1334,-178.9866,-0.010364,0.016303,0,20.001
52,96.0,577.6757,-17.1591,-179.2089,-0.012339,0.028876,0,20.001
53,98.0,575.8876,-17.1728,-179.6324,0.005612,0.029465,0,20.0
54,100.0,574.0994,-17.185,-179.616,0.002066,0.028561,0,20.0
55,102.0,572.3113,-17.2,-179.5124,-0.008838,0.030479,0,20.0
56,104.0,570.5232,-17.2098,-179.7193,-0.005441,0.027236,0,20.0
57,106.0,568.735,-17.2127,-179.9493,0.013036,0.016976,0,20.0
58,108.0,566.947,-17.2217,-179.6697,0.003601,0.012967,0,19.999
59,108.0,565.1588,-17.238,-179.4474,-0.005573,0.016131,0,20.0
60,110.0,563.3707,-17.2524,-179.5495,-0.00195,0.017468,0,20.0
61,112.0,561.5826,-17.2637,-179.6543,0.010307,0.015693,0,20.001
62,114.0,559.7944,-17.2811,-179.4084,0.005912,0.019934,0,20.0
63,116.0,558.0063,-17.3063,-179.1512,-0.006714,0.032082,0,20.0
64,118.0,556.2182,-17.3298,-179.261,-0.018949,0.042492,0,20.0
65,120.0,554.4301,-17.3384,-179.818,0.008226,0.037958,0,19.998
66,122.0,552.642,-17.3448,-179.7979,-4.2e-05,0.031249,0,19.998
67,124.0,550.8538,-17.3534,-179.7264,0.007615,0.024563,0,20.001
68,124.0,549.0657,-17.3671,-179.5244,-0.007381,0.030047,0,20.002
69,126.0,547.2776,-17.379,-179.6397,-0.001978,0.035298,0,20.001
70,128.0,545.4894,-17.387,-179.7618,0.007765,0.039363,0,20.001
71,130.0,543.7013,-17.3993,-179.583,0.00827,0.047723,0,19.999
72,132.0,541.9132,-17.42,-179.2902,-0.014249,0.064538,0,19.999
73,134.0,540.1251,-17.4347,-179.5733,-0.015102,0.075354,0,19.998
74,136.0,538.3369,-17.4342,179.8947,-0.002923,0.070883,0,19.999
75,138.0,536.5488,-17.4251,179.6585,0.010855,0.057928,0,20.002
76,140.0,534.7607,-17.4212,179.903,-0.012787,0.050128,0,20.002
77,140.0,532.9726,-17.4125,179.6775,0.006871,0.037516,0,19.999
78,142.0,531.1844,-17.4038,179.7335,0.007464,0.024897,0,19.999
79,144.0,529.3963,-17.4024,179.991,0.009625,0.01963,0,20.0
80,146.0,527.6082,-17.4107,-179.6791,-0.01665,0.023953,0,20.001
81,148.0,525.8201,-17.412,179.9894,-0.004132,0.021354,0,19.999
82,150.0,524.0319,-17.4045,179.7192,0.009575,0.009999,0,20.0
83,152.0,522.2438,-17.4013,179.9183,0.010228,0.002868,0,20.001
84,154.0,520.4557,-17.4083,-179.7212,-0.011505,0.005948,0,20.001
85,156.0,518.6675,-17.4119,-179.9125,-0.001383,0.005661,0,20.0
86,158.0,516.8795,-17.4107,179.9411,0.003759,0.000557,0,20.0
87,158.0,515.0913,-17.4112,-179.9806,0.000848,-0.002891,0,20.001
88,160.0,513.3032,-17.4134,-179.9215,-0.027893,-0.004535,0,20.001
89,162.0,511.5154,-17.3974,179.3661,0.001781,-0.024452,0,19.995
90,164.0,509.7279,-17.3717,179.1329,0.004645,-0.05408,0,19.997
91,166.0,507.9399,-17.3485,179.2571,0.012332,-0.081205,0,20.001
92,168.0,506.1516,-17.3349,179.6254,-0.009821,-0.09863,0,20.004
93,170.0,504.3634,-17.3199,179.4965,0.013604,-0.117615,0,20.002
94,172.0,502.5753,-17.3108,179.7583,0.012839,-0.130618,0,19.999
95,174.0,500.7872,-17.3155,-179.7749,-0.002933,-0.129772,0,19.998
96,174.0,498.9991,-17.3239,-179.7148,-0.019357,-0.125295,0,20.0
97,176.0,497.2109,-17.319,179.7597,0.00208,-0.134141,0,19.999
98,178.0,495.4228,-17.3079,179.6179,0.004512,-0.149093,0,20.001
99,180.0,493.6347,-17.2998,179.7462,-0.007089,-0.161137,0,20.002
100,182.0,491.8466,-17.2883,179.6074,-0.002979,-0.176477,0,20.002
101,184.0,490.0584,-17.2723,179.4603,0.005754,-0.196448,0,20.001
102,186.0,488.2703,-17.2586,179.5766,0.009184,-0.213977,0,20.0
103,188.0,486.4822,-17.2532,179.8724,0.005552,-0.223286,0,19.999
104,190.0,484.6941,-17.2554,-179.8868,-0.009525,-0.224978,0,20.0
105,192.0,482.9059,-17.254,179.9262,0.005685,-0.230343,0,20.0
106,192.0,481.1178,-17.2531,179.9818,0.004508,-0.23516,0,20.0
107,194.0,479.3297,-17.2571,-179.848,0.005205,-0.234994,0,20.001
108,196.0,477.5416,-17.2666,-179.6637,-0.0026,-0.229396,0,20.001
109,198.0,475.7534,-17.2768,-179.6762,0.001666,-0.223179,0,20.001
110,200.0,473.9653,-17.2873,-179.656,0.004538,-0.216499,0,20.0
111,202.0,472.1772,-17.3017,-179.5219,-0.004987,-0.206091,0,20.0
112,204.0,470.389,-17.3145,-179.6053,-0.005806,-0.197202,0,20.0
113,206.0,468.6009,-17.3216,-179.8048,-0.002267,-0.193978,0,20.0
114,208.0,466.8128,-17.3247,-179.9253,0.009372,-0.194745,0,20.001
115,208.0,465.0247,-17.3329,-179.7073,-0.004664,-0.19046,0,20.0
116,210.0,463.2365,-17.3414,-179.7358,0.000713,-0.185856,0,20.0
117,212.0,461.4484,-17.349,-179.7593,-0.000273,-0.18222,0,20.0
118,214.0,459.6603,-17.3565,-179.7615,0.006671,-0.178537,0,20.001
119,216.0,457.8722,-17.3685,-179.5899,-0.003051,-0.17048,0,20.0
120,218.0,456.084,-17.381,-179.6023,-0.005439,-0.161846,0,20.0
121,220.0,454.2959,-17.389,-179.7715,-0.013765,-0.15778,0,20.0
122,222.0,452.5078,-17.3855,179.8135,0.013583,-0.165194,0,19.999
123,224.0,450.7197,-17.3854,-179.975,-0.002851,-0.169227,0,19.997
124,226.0,448.9315,-17.3879,-179.9201,0.002219,-0.172793,0,19.999
125,226.0,447.1434,-17.3912,-179.884,-0.019111,-0.169347,0,20.001
126,228.0,445.3553,-17.3826,179.6405,0.012067,-0.175953,0,19.999
127,230.0,443.5672,-17.3746,179.7632,-0.001009,-0.17785,0,19.998
128,232.0,441.7791,-17.3699,179.8483,-0.009786,-0.1761,0,20.0
129,234.0,439.9909,-17.3583,179.5889,-0.020546,-0.181151,0,20.001
130,236.0,438.203,-17.3291,178.9559,0.013414,-0.203799,0,20.0
131,238.0,436.4152,-17.3004,179.0925,0.014053,-0.226018,0,19.998
132,240.0,434.6271,-17.2853,179.5822,0.007316,-0.234644,0,19.999
133,242.0,432.839,-17.2809,179.9216,-0.013433,-0.232529,0,20.002
134,242.0,431.0508,-17.2712,179.6538,0.008874,-0.235666,0,20.001
135,244.0,429.2627,-17.2629,179.7541,0.010836,-0.237454,0,20.0
136,246.0,427.4746,-17.265,-179.8808,-0.000512,-0.228863,0,20.0
137,248.0,425.6865,-17.2712,-179.7803,-0.034632,-0.216114,0,20.001
138,250.0,423.8989,-17.2547,179.3251,0.007497,-0.226102,0,19.992
139,252.0,422.1115,-17.2298,179.1732,0.010506,-0.244472,0,19.995
140,254.0,420.3237,-17.2134,179.504,0.011196,-0.254439,0,20.002
141,256.0,418.535,-17.2083,179.9049,-0.024824,-0.253001,0,20.007
142,258.0,416.7467,-17.1915,179.3801,0.007581,-0.263233,0,20.001
143,258.0,414.9586,-17.1709,179.3344,0.006138,-0.277387,0,19.998
144,260.0,413.1705,-17.1564,179.5581,0.004064,-0.285334,0,19.999
145,262.0,411.3823,-17.1471,179.7296,-0.013372,-0.288183,0,20.002
146,264.0,409.5942,-17.1307,179.4261,0.005021,-0.298054,0,20.002
147,266.0,407.8061,-17.1127,179.4246,0.010086,-0.309497,0,20.002
148,268.0,406.018,-17.103,179.7312,0.002125,-0.312682,0,20.001
149,270.0,404.2298,-17.0988,179.891,-0.011418,-0.310427,0,20.001
150,272.0,402.4417,-17.0882,179.6207,0.008453,-0.314471,0,19.999
151,274.0,400.6536,-17.0791,179.7272,0.011311,-0.317017,0,19.999
152,276.0,398.8654,-17.0806,-179.8987,0.000987,-0.309047,0,20.0
153,276.0,397.0773,-17.0874,-179.7544,-0.009186,-0.295716,0,20.002
154,278.0,395.2892,-17.0891,-179.9775,0.002013,-0.287504,0,20.001
155,280.0,393.5011,-17.0888,179.9832,0.007001,-0.281273,0,20.001
156,282.0,391.713,-17.0937,-179.8187,-0.004152,-0.269903,0,20.0
157,284.0,389.9248,-17.0984,-179.8555,-0.013564,-0.258645,0,20.0
158,286.0,388.1367,-17.0927,179.7531,-0.001741,-0.257832,0,19.999
159,288.0,386.3486,-17.0804,179.5686,0.015381,-0.263642,0,20.0
160,290.0,384.5605,-17.077,179.9437,-0.001746,-0.260512,0,19.999
161,292.0,382.7723,-17.0782,-179.9481,-0.007197,-0.252831,0,20.0
162,292.0,380.9842,-17.0745,179.8546,-0.001152,-0.250036,0,20.001
163,294.0,379.1961,-17.0673,179.7513,0.012806,-0.250666,0,20.001
164,296.0,377.408,-17.068,-179.9308,-0.001394,-0.243453,0,20.0
165,298.0,375.6198,-17.0727,-179.8387,-0.006969,-0.232305,0,19.999
166,300.0,373.8317,-17.0726,179.9722,-0.000678,-0.225837,0,20.0
167,302.0,372.0436,-17.0695,179.8837,0.000692,-0.222414,0,20.001
168,304.0,370.2555,-17.0663,179.8911,-0.000269,-0.219127,0,20.001
169,306.0,368.4673,-17.063,179.8905,-0.001709,-0.215921,0,20.001
170,308.0,366.6792,-17.0584,179.8434,-0.004024,-0.213989,0,20.0
171,310.0,364.8911,-17.0504,179.7208,0.012135,-0.215459,0,20.0
172,310.0,363.103,-17.049,179.9952,0.007,-0.210426,0,19.998
173,312.0,361.3148,-17.0568,-179.7018,-0.00764,-0.196078,0,19.999
174,314.0,359.5267,-17.0628,-179.8238,-0.011988,-0.183598,0,20.0
175,316.0,357.7386,-17.0582,179.7908,0.012892,-0.18167,0,20.0
176,318.0,355.9505,-17.0573,-179.9985,0.001349,-0.176007,0,19.999
177,320.0,354.1623,-17.0618,-179.8399,-0.00013,-0.165031,0,20.0
178,322.0,352.3742,-17.0671,-179.8231,-0.015625,-0.153236,0,20.001
179,324.0,350.5861,-17.0621,179.7701,0.012595,-0.15174,0,19.999
180,326.0,348.798,-17.0594,179.9404,0.00442,-0.147892,0,19.998
181,326.0,347.0098,-17.064,-179.8256,-0.000453,-0.136817,0,20.0
182,328.0,345.2217,-17.0703,-179.7863,-0.007626,-0.123981,0,20.002
183,330.0,343.4336,-17.0717,-179.9871,0.013783,-0.116055,0,20.002
184,332.0,341.6454,-17.0795,-179.7055,0.007649,-0.101762,0,19.999
185,334.0,339.8573,-17.0975,-179.371,0.003906,-0.077191,0,19.999
186,336.0,338.0692,-17.1218,-179.1843,-0.023875,-0.046406,0,20.0
187,338.0,336.2812,-17.1322,-179.7597,0.00922,-0.02949,0,19.996
188,340.0,334.4936,-17.1398,-179.7573,0.01015,-0.015407,0,19.997
189,342.0,332.7055,-17.1568,-179.4124,0.002398,0.008134,0,20.001
190,344.0,330.9173,-17.1795,-179.2429,-0.008898,0.037326,0,20.004
191,344.0,329.129,-17.1977,-179.4449,0.000636,0.062072,0,20.003
192,346.0,327.3408,-17.2132,-179.5165,0.006916,0.084056,0,20.001
193,348.0,325.5528,-17.2332,-179.3344,-0.004019,0.110616,0,19.999
194,350.0,323.765,-17.2532,-179.3694,-0.017433,0.137066,0,19.998
195,352.0,321.9772,-17.2601,-179.8597,-0.012053,0.150486,0,19.998
196,354.0,320.1891,-17.2519,179.6486,0.030979,0.148793,0,20.0
197,356.0,318.4014,-17.2587,-179.6814,-0.001766,0.162157,0,19.994
198,358.0,316.6138,-17.2757,-179.4236,0.008474,0.185599,0,19.997
199,360.0,314.8258,-17.2989,-179.2041,-0.013817,0.215296,0,20.003
200,360.0,313.0374,-17.3166,-179.4781,-0.006753,0.23954,0,20.004
201,362.0,311.249,-17.3247,-179.7891,-0.02163,0.254208,0,20.004
202,364.0,309.4608,-17.3151,179.5733,0.021048,0.251108,0,19.999
203,366.0,307.6732,-17.3105,179.8973,0.013017,0.253001,0,19.993
204,368.0,305.8857,-17.3218,-179.5639,-0.017156,0.270761,0,19.997
205,370.0,304.0977,-17.3272,-179.8679,-0.019392,0.282699,0,20.0
206,372.0,302.3095,-17.3137,179.4627,0.024376,0.275763,0,20.004
207,374.0,300.5213,-17.3085,179.8902,0.014204,0.27699,0,19.999
208,376.0,298.7332,-17.3211,-179.5058,-0.011873,0.296196,0,20.0
209,376.0,296.9451,-17.3322,-179.6591,-0.016207,0.313785,0,20.0
210,378.0,295.157,-17.3288,179.8078,0.013061,0.316855,0,20.001
211,380.0,293.3688,-17.3275,179.9784,0.00325,0.322076,0,20.001
212,382.0,291.5807,-17.3326,-179.8141,-0.004988,0.333694,0,20.002
213,384.0,289.7922,-17.3359,-179.9048,-0.014598,0.343521,0,20.002
214,386.0,288.004,-17.3277,179.6667,0.02233,0.341876,0,20.001
215,388.0,286.2161,-17.3287,-179.9038,0.010506,0.349311,0,19.995
216,390.0,284.4283,-17.3447,-179.4134,-0.016531,0.371869,0,19.998
217,392.0,282.6403,-17.3546,-179.7255,-0.010413,0.388249,0,20.0
218,394.0,280.852,-17.3518,179.8428,-0.009598,0.391966,0,20.003
219,394.0,279.0636,-17.3378,179.4787,0.009413,0.384513,0,20.005
220,396.0,277.2751,-17.3256,179.6208,0.001393,0.378793,0,20.002
221,398.0,275.4869,-17.3173,179.7467,-0.005368,0.377014,0,20.0
222,400.0,273.6988,-17.3062,179.6255,0.00711,0.372396,0,19.999
