step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.011023,-0.018281,0,19.627
1,10.0,656.29,13.7636,-109.6747,-0.054492,0.015817,0,18.764
2,12.0,655.7118,12.2342,-110.869,-0.036403,0.029701,0,17.961
3,14.0,655.112,10.7573,-112.2065,-0.026216,0.027895,0,17.867
4,16.0,654.4725,9.2579,-113.1765,-0.058841,0.046686,0,18.68
5,16.0,653.7532,7.6959,-114.9201,-0.096312,0.14867,0,19.682
6,18.0,652.9297,6.1136,-117.9594,-0.095476,0.184737,0,20.076
7,20.0,652.0162,4.5779,-121.3725,-0.051644,0.183393,0,19.842
8,22.0,651.0556,3.1102,-123.6807,-0.057553,0.167568,0,19.426
9,22.0,650.0605,1.7046,-125.6748,-0.061764,0.205261,0,19.179
10,24.0,649.0161,0.3414,-127.7902,-0.05704,0.20319,0,19.302
11,26.0,647.9067,-1.0026,-129.8465,-0.069517,0.197296,0,19.684
12,28.0,646.7228,-2.3261,-132.2092,-0.062256,0.183534,0,19.992
13,30.0,645.4755,-3.613,-134.5309,-0.060286,0.162874,0,20.052
14,30.0,644.1837,-4.8474,-136.7406,-0.062641,0.208825,0,19.91
15,32.0,642.8562,-6.0201,-138.9725,-0.04627,0.200737,0,19.741
16,34.0,641.4977,-7.1417,-140.8031,-0.099766,0.195515,0,19.702
17,36.0,640.0859,-8.1963,-143.7621,-0.055521,0.166245,0,19.757
18,36.0,638.619,-9.1948,-146.1712,-0.06863,0.179964,0,19.932
19,38.0,637.1019,-10.14,-148.5342,-0.050819,0.150985,0,20.037
20,40.0,635.547,-11.0316,-150.562,-0.053583,0.121168,0,20.042
21,42.0,633.9665,-11.8684,-152.4899,-0.059089,0.095432,0,19.966
22,44.0,632.3634,-12.6444,-154.5685,-0.063266,0.069143,0,19.892
23,44.0,630.7352,-13.3562,-156.8015,-0.037393,0.101516,0,19.879
24,46.0,629.0837,-14.0198,-158.423,-0.07395,0.103584,0,19.942
25,48.0,627.4038,-14.6217,-160.7205,-0.077786,0.101764,0,19.985
26,50.0,625.6946,-15.1454,-163.4645,-0.059624,0.080727,0,20.007
27,52.0,623.9637,-15.5977,-165.81,-0.042493,0.049623,0,20.01
28,52.0,622.2198,-15.9943,-167.5467,-0.068283,0.095537,0,19.997
29,54.0,620.465,-16.325,-169.7554,-0.049556,0.09236,0,19.962
30,56.0,618.7007,-16.5931,-171.7333,-0.055317,0.090035,0,19.965
31,58.0,616.9274,-16.8012,-173.6876,-0.103393,0.091169,0,19.981
32,60.0,615.147,-16.9171,-176.8601,-0.079522,0.073906,0,19.958
