step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,0.033477,-0.018281,0,19.627
1,10.0,656.3036,13.7596,-109.122,0.023716,0.029908,0,18.754
2,12.0,655.7888,12.2066,-108.2451,0.006369,0.111366,0,17.979
3,14.0,655.2979,10.6881,-107.8645,0.036027,0.225535,0,17.885
4,16.0,654.8213,9.1289,-106.9181,0.050171,0.415136,0,18.673
5,16.0,654.3627,7.4725,-105.3187,0.05183,0.791523,0,19.67
6,18.0,653.9383,5.7387,-103.4787,0.067365,1.242525,0,20.099
7,20.0,653.5776,3.9862,-101.2053,0.016424,1.810514,0,19.867
8,20.0,653.2631,2.2592,-100.0774,-0.183792,2.508181,0,19.429
9,22.0,652.8774,0.5939,-103.6258,-0.165014,3.129594,0,18.962
10,24.0,652.3379,-1.0144,-109.1995,-0.14066,3.631409,0,19.12
11,24.0,651.6452,-2.6039,-114.2441,-0.211857,4.103794,0,19.693
12,26.0,650.7658,-4.1452,-120.7925,-0.076317,4.425991,0,20.014
13,28.0,649.7533,-5.6335,-124.9791,-0.026644,4.66505,0,20.18
14,30.0,648.6924,-7.0869,-126.5625,0.027217,4.897186,0,20.039
15,30.0,647.6422,-8.5236,-126.1868,-0.008368,5.255357,0,19.793
16,32.0,646.6033,-9.9469,-126.1485,-0.018884,5.613656,0,19.669
17,34.0,645.5529,-11.3598,-126.7036,-0.022669,5.999822,0,19.742
18,34.0,644.4768,-12.7696,-127.4799,-0.085539,6.489729,0,19.925
19,36.0,643.3428,-14.1493,-129.8405,-0.128615,6.924824,0,20.022
20,38.0,642.1191,-15.4521,-133.9212,-0.172231,7.288212,0,19.982
21,38.0,640.7886,-16.6307,-139.4758,-0.190766,7.613446,0,19.851
22,40.0,639.3455,-17.6513,-145.8904,-0.133666,7.749984,0,19.779
23,42.0,637.8073,-18.5332,-151.1438,-0.086223,7.763201,0,19.914
24,42.0,636.1996,-19.3167,-154.7418,-0.098975,7.782059,0,20.081
25,44.0,634.5392,-20.0044,-158.1999,-0.100691,7.7006,0,20.113
26,46.0,632.8417,-20.5859,-161.7994,-0.080715,7.553638,0,20.039
27,46.0,631.1211,-21.0699,-164.9146,-0.032807,7.427264,0,19.96
28,48.0,629.389,-21.4939,-166.6194,-0.032445,7.254106,0,19.943
29,50.0,627.6469,-21.8781,-167.8337,-0.083646,7.086381,0,19.972
30,50.0,625.8896,-22.1934,-170.2779,-0.00895,6.962636,0,19.981
31,52.0,624.1221,-22.4686,-171.3603,-0.038423,6.817521,0,20.027
32,54.0,622.3475,-22.7104,-172.4914,-0.099466,6.686494,0,20.035
