step,here_m,x,y,yaw,steer,cte_m,in_bridge,speed_mph
0,10.0,656.8673,15.3798,-109.7334,-0.010057,-0.018281,0,19.627
1,10.0,656.2774,13.768,-110.2002,-0.034214,0.002446,0,18.766
2,12.0,655.6912,12.2401,-111.1264,-0.015507,0.008395,0,17.981
3,14.0,655.1,10.7578,-111.8063,-0.048915,0.016775,0,17.88
4,16.0,654.4626,9.2584,-113.1445,-0.036179,0.037771,0,18.659
5,16.0,653.7532,7.6932,-114.502,-0.137016,0.149996,0,19.671
6,18.0,652.9314,6.1149,-118.1316,-0.095151,0.185464,0,20.014
7,20.0,652.0066,4.5899,-121.8964,-0.04047,0.16879,0,19.829
8,22.0,651.0381,3.1262,-123.9418,-0.055859,0.144057,0,19.454
9,22.0,650.0378,1.7201,-125.7899,-0.073098,0.177766,0,19.219
10,24.0,648.9838,0.3613,-128.1641,-0.068437,0.1656,0,19.317
11,26.0,647.8581,-0.9688,-130.6083,-0.053107,0.138541,0,19.669
12,28.0,646.6633,-2.2811,-132.6674,-0.089987,0.109622,0,19.982
13,30.0,645.3978,-3.5465,-135.526,-0.038422,0.061413,0,20.021
14,30.0,644.0904,-4.763,-137.4409,-0.080216,0.083675,0,19.914
15,32.0,642.7454,-5.9153,-139.8938,-0.034442,0.049494,0,19.742
16,34.0,641.3703,-7.0182,-141.5827,-0.03901,0.020419,0,19.718
17,36.0,639.9651,-8.0891,-142.9653,-0.055629,0.009926,0,19.817
18,36.0,638.5182,-9.1221,-144.7985,-0.097783,0.0635,0,19.946
19,38.0,637.0164,-10.0863,-147.8422,-0.022007,0.060952,0,19.983
20,40.0,635.4821,-11.0043,-149.4147,-0.096416,0.066418,0,20.0
21,42.0,633.915,-11.855,-152.0436,-0.042977,0.061208,0,19.913
22,44.0,632.3192,-12.6426,-154.1059,-0.050521,0.050539,0,19.909
23,44.0,630.6983,-13.3805,-155.8835,-0.056109,0.109788,0,19.937
24,46.0,629.0502,-14.0637,-157.8537,-0.116012,0.133566,0,19.978
25,48.0,627.3672,-14.6538,-161.3151,-0.060099,0.121775,0,19.946
26,50.0,625.6556,-15.1602,-164.0201,-0.028361,0.085568,0,19.984
27,52.0,623.9272,-15.6201,-165.416,-0.083565,0.064434,0,20.018
28,52.0,622.1832,-16.0115,-167.8261,-0.061429,0.105187,0,19.982
29,54.0,620.4254,-16.3277,-170.2446,-0.081959,0.089163,0,19.978
30,56.0,618.6558,-16.5617,-172.9914,-0.032738,0.05435,0,19.965
31,58.0,616.878,-16.7378,-174.6837,-0.087272,0.025311,0,19.998
32,60.0,615.0946,-16.8395,-177.2397,-0.042423,-0.004288,0,19.981
33,60.0,613.3073,-16.8755,-179.2147,-0.005234,0.011476,0,20.007
34,62.0,611.5176,-16.8862,-179.8237,-0.008999,0.003728,0,20.025
35,64.0,609.7271,-16.8848,179.8622,0.019061,-0.0108,0,20.022
36,66.0,607.9379,-16.8912,-179.7382,0.023273,-0.017476,0,20.004
37,68.0,606.1504,-16.9201,-178.9473,-0.009839,-0.001658,0,19.989
38,70.0,604.3635,-16.9523,-178.959,-0.014919,0.017453,0,19.987
39,72.0,602.5762,-16.9721,-179.4333,-0.075136,0.024109,0,19.997
40,74.0,600.7904,-16.938,178.5459,0.075489,-0.023015,0,19.974
41,74.0,599.0078,-16.9169,179.5199,0.00117,-0.057146,0,19.933
42,76.0,597.2236,-16.9226,-179.7498,0.030763,-0.064479,0,19.983
43,78.0,595.4349,-16.9513,-178.9033,-0.01545,-0.048883,0,20.035
44,80.0,593.6426,-16.9831,-178.9935,0.016532,-0.03024,0,20.055
45,82.0,591.8507,-17.0216,-178.7024,-0.038088,-0.004868,0,20.035
46,84.0,590.0621,-17.041,-179.5251,0.00231,0.001488,0,19.988
47,86.0,588.2761,-17.0476,-179.8381,0.025323,-0.00502,0,19.973
48,88.0,586.4903,-17.0705,-179.1785,-0.010268,0.004826,0,19.983
49,90.0,584.7026,-17.0959,-179.1918,0.025829,0.017134,0,20.008
50,92.0,582.9138,-17.1358,-178.6115,-0.044247,0.043921,0,20.021
51,92.0,581.1251,-17.1564,-179.495,0.005865,0.051444,0,20.001
52,94.0,579.337,-17.1647,-179.771,0.017968,0.046634,0,19.997
53,96.0,577.5491,-17.1857,-179.2676,-0.011262,0.054596,0,20.001
54,98.0,575.7608,-17.2058,-179.3781,-0.019658,0.061553,0,20.006
55,100.0,573.972,-17.209,-179.9932,0.016367,0.051661,0,20.009
56,102.0,572.1833,-17.2152,-179.7713,0.035652,0.044805,0,20.005
57,104.0,570.3956,-17.2507,-178.6953,-0.006499,0.067196,0,19.997
58,106.0,568.6084,-17.2963,-178.4986,-0.05834,0.099651,0,19.997
59,108.0,566.8218,-17.3036,179.9928,-0.000694,0.093907,0,19.98
60,108.0,565.0349,-17.288,179.3935,0.053273,0.06521,0,19.996
61,110.0,563.2477,-17.3047,-179.2767,-0.002454,0.06888,0,19.993
62,112.0,561.4598,-17.3395,-178.8112,-0.034607,0.090611,0,20.009
63,114.0,559.6711,-17.3526,-179.7031,-0.009269,0.090563,0,20.01
64,116.0,557.8818,-17.3466,179.7083,0.044435,0.071494,0,20.013
65,118.0,556.0939,-17.365,-179.2601,-0.013216,0.076787,0,19.993
66,120.0,554.307,-17.3908,-179.1649,-0.021115,0.089529,0,19.989
67,122.0,552.5195,-17.3991,-179.823,0.013183,0.084663,0,19.999
68,124.0,550.731,-17.4081,-179.698,0.031687,0.078681,0,20.01
