manifests=1 total=5120 train=4370 val=750 | balance=False augment=False | device=cuda
  epoch   0 | train 4.652e-03 | val 3.633e-04 | rmse 0.0191 *
  epoch   2 | train 3.192e-04 | val 3.617e-04 | rmse 0.0190 *
  epoch   3 | train 3.245e-04 | val 3.561e-04 | rmse 0.0189 *
  epoch   9 | train 2.054e-04 | val 1.647e-04 | rmse 0.0128 *
  epoch  10 | train 1.221e-04 | val 1.087e-04 | rmse 0.0104 *
  epoch  12 | train 7.774e-05 | val 9.012e-05 | rmse 0.0095 *
  epoch  13 | train 7.288e-05 | val 7.360e-05 | rmse 0.0086 *
  epoch  15 | train 6.626e-05 | val 6.615e-05 | rmse 0.0081 *
  epoch  16 | train 5.951e-05 | val 6.121e-05 | rmse 0.0078 *
  epoch  20 | train 5.133e-05 | val 5.636e-05 | rmse 0.0075 *
  epoch  22 | train 6.981e-05 | val 5.355e-05 | rmse 0.0073 *
  epoch  23 | train 4.597e-05 | val 5.212e-05 | rmse 0.0072 *
  epoch  27 | train 5.073e-05 | val 4.397e-05 | rmse 0.0066 *
  epoch  28 | train 4.362e-05 | val 4.245e-05 | rmse 0.0065 *
  epoch  30 | train 3.990e-05 | val 5.955e-05 | rmse 0.0077
  epoch  33 | train 3.994e-05 | val 3.880e-05 | rmse 0.0062 *
  epoch  36 | train 5.271e-05 | val 3.867e-05 | rmse 0.0062 *
  epoch  39 | train 3.052e-05 | val 3.372e-05 | rmse 0.0058 *
  epoch  40 | train 3.267e-05 | val 5.252e-05 | rmse 0.0072
  epoch  42 | train 2.720e-05 | val 2.966e-05 | rmse 0.0054 *
  epoch  48 | train 2.403e-05 | val 2.901e-05 | rmse 0.0054 *
  epoch  49 | train 2.404e-05 | val 2.708e-05 | rmse 0.0052 *
  epoch  50 | train 2.199e-05 | val 3.441e-05 | rmse 0.0059
  epoch  51 | train 2.335e-05 | val 2.708e-05 | rmse 0.0052 *
  epoch  52 | train 2.692e-05 | val 2.679e-05 | rmse 0.0052 *
  epoch  55 | train 2.258e-05 | val 2.474e-05 | rmse 0.0050 *
  epoch  60 | train 2.208e-05 | val 3.160e-05 | rmse 0.0056
  epoch  61 | train 2.396e-05 | val 2.426e-05 | rmse 0.0049 *
  epoch  63 | train 2.215e-05 | val 2.279e-05 | rmse 0.0048 *
  epoch  70 | train 2.303e-05 | val 3.921e-05 | rmse 0.0063
  epoch  74 | train 1.731e-05 | val 2.015e-05 | rmse 0.0045 *
  epoch  80 | train 1.640e-05 | val 2.158e-05 | rmse 0.0046
  epoch  84 | train 1.486e-05 | val 1.933e-05 | rmse 0.0044 *
  epoch  86 | train 1.489e-05 | val 1.889e-05 | rmse 0.0043 *
  epoch  87 | train 1.387e-05 | val 1.857e-05 | rmse 0.0043 *
  epoch  88 | train 1.413e-05 | val 1.847e-05 | rmse 0.0043 *
  epoch  90 | train 1.486e-05 | val 2.175e-05 | rmse 0.0047
  epoch  92 | train 1.435e-05 | val 1.832e-05 | rmse 0.0043 *
  epoch  95 | train 1.373e-05 | val 1.812e-05 | rmse 0.0043 *
  epoch  98 | train 1.402e-05 | val 1.730e-05 | rmse 0.0042 *
  epoch 100 | train 1.379e-05 | val 1.856e-05 | rmse 0.0043
  epoch 110 | train 1.291e-05 | val 1.758e-05 | rmse 0.0042
  epoch 112 | train 1.289e-05 | val 1.715e-05 | rmse 0.0041 *
  epoch 114 | train 1.461e-05 | val 1.691e-05 | rmse 0.0041 *
BEST val MSE=1.691e-05 RMSE=0.0041 -> /home/za/ad-assurance--workspace/formal-verification--steering--code/pipeline/checkpoints/teacher_clear_t06lap_bc.pth
